priority_rank,ticker,normalized_file,target_official_price_cache_file,target_action,row_count,min_date,max_date,quality_status,integration_candidate_status,plan_status,reason
1,AMC,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/AMC.csv,D:/us-tech-quant/state/v18/price_cache/AMC.csv,CREATE_NEW_FILE,3124,2013-12-18,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
2,APLD,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/APLD.csv,D:/us-tech-quant/state/v18/price_cache/APLD.csv,CREATE_NEW_FILE,1030,2022-04-13,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
3,BW,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/BW.csv,D:/us-tech-quant/state/v18/price_cache/BW.csv,CREATE_NEW_FILE,2750,2015-06-16,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
4,BYND,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/BYND.csv,D:/us-tech-quant/state/v18/price_cache/BYND.csv,CREATE_NEW_FILE,1774,2019-05-02,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
5,COGT,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/COGT.csv,D:/us-tech-quant/state/v18/price_cache/COGT.csv,CREATE_NEW_FILE,2048,2018-03-29,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
6,CVNA,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CVNA.csv,D:/us-tech-quant/state/v18/price_cache/CVNA.csv,CREATE_NEW_FILE,2279,2017-04-28,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
7,DBVT,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/DBVT.csv,D:/us-tech-quant/state/v18/price_cache/DBVT.csv,CREATE_NEW_FILE,2912,2014-10-22,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
8,FCNCA,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/FCNCA.csv,D:/us-tech-quant/state/v18/price_cache/FCNCA.csv,CREATE_NEW_FILE,9971,1986-10-22,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
9,HOOD,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/HOOD.csv,D:/us-tech-quant/state/v18/price_cache/HOOD.csv,CREATE_NEW_FILE,1209,2021-07-29,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
10,HTZ,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/HTZ.csv,D:/us-tech-quant/state/v18/price_cache/HTZ.csv,CREATE_NEW_FILE,1228,2021-07-01,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
11,INSM,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/INSM.csv,D:/us-tech-quant/state/v18/price_cache/INSM.csv,CREATE_NEW_FILE,6532,2000-06-01,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
12,NVAX,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/NVAX.csv,D:/us-tech-quant/state/v18/price_cache/NVAX.csv,CREATE_NEW_FILE,7665,1995-12-05,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
13,UPST,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/UPST.csv,D:/us-tech-quant/state/v18/price_cache/UPST.csv,CREATE_NEW_FILE,1363,2020-12-16,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
14,USFD,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/USFD.csv,D:/us-tech-quant/state/v18/price_cache/USFD.csv,CREATE_NEW_FILE,2511,2016-05-26,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
15,V,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/V.csv,D:/us-tech-quant/state/v18/price_cache/V.csv,CREATE_NEW_FILE,4573,2008-03-19,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
16,VECO,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/VECO.csv,D:/us-tech-quant/state/v18/price_cache/VECO.csv,CREATE_NEW_FILE,7922,1994-11-29,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
17,VEEV,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/VEEV.csv,D:/us-tech-quant/state/v18/price_cache/VEEV.csv,CREATE_NEW_FILE,3168,2013-10-16,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
18,VIAV,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/VIAV.csv,D:/us-tech-quant/state/v18/price_cache/VIAV.csv,CREATE_NEW_FILE,8182,1993-11-17,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
19,VIST,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/VIST.csv,D:/us-tech-quant/state/v18/price_cache/VIST.csv,CREATE_NEW_FILE,1715,2019-07-26,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
20,VMC,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/VMC.csv,D:/us-tech-quant/state/v18/price_cache/VMC.csv,CREATE_NEW_FILE,13426,1973-02-21,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
21,WAB,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WAB.csv,D:/us-tech-quant/state/v18/price_cache/WAB.csv,CREATE_NEW_FILE,7784,1995-06-16,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
22,WDAY,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WDAY.csv,D:/us-tech-quant/state/v18/price_cache/WDAY.csv,CREATE_NEW_FILE,3420,2012-10-12,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
23,WHR,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WHR.csv,D:/us-tech-quant/state/v18/price_cache/WHR.csv,CREATE_NEW_FILE,13426,1973-02-21,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
24,WING,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WING.csv,D:/us-tech-quant/state/v18/price_cache/WING.csv,CREATE_NEW_FILE,2752,2015-06-12,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
25,WLK,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WLK.csv,D:/us-tech-quant/state/v18/price_cache/WLK.csv,CREATE_NEW_FILE,5479,2004-08-12,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
26,WULF,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WULF.csv,D:/us-tech-quant/state/v18/price_cache/WULF.csv,CREATE_NEW_FILE,8087,1994-04-05,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
27,WVE,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WVE.csv,D:/us-tech-quant/state/v18/price_cache/WVE.csv,CREATE_NEW_FILE,2646,2015-11-11,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
28,WWD,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WWD.csv,D:/us-tech-quant/state/v18/price_cache/WWD.csv,CREATE_NEW_FILE,8088,1994-04-04,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
29,XENE,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/XENE.csv,D:/us-tech-quant/state/v18/price_cache/XENE.csv,CREATE_NEW_FILE,2902,2014-11-05,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
30,XLF,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/XLF.csv,D:/us-tech-quant/state/v18/price_cache/XLF.csv,CREATE_NEW_FILE,6895,1998-12-22,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
31,XLK,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/XLK.csv,D:/us-tech-quant/state/v18/price_cache/XLK.csv,CREATE_NEW_FILE,6895,1998-12-22,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
32,XPO,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/XPO.csv,D:/us-tech-quant/state/v18/price_cache/XPO.csv,CREATE_NEW_FILE,5692,2003-10-07,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
33,XYZ,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/XYZ.csv,D:/us-tech-quant/state/v18/price_cache/XYZ.csv,CREATE_NEW_FILE,2640,2015-11-19,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
34,YPF,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/YPF.csv,D:/us-tech-quant/state/v18/price_cache/YPF.csv,CREATE_NEW_FILE,8281,1993-06-29,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
35,Z,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/Z.csv,D:/us-tech-quant/state/v18/price_cache/Z.csv,CREATE_NEW_FILE,2717,2015-08-03,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
36,ZG,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/ZG.csv,D:/us-tech-quant/state/v18/price_cache/ZG.csv,CREATE_NEW_FILE,3732,2011-07-20,2026-05-21,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,APPROVED_FULL_HISTORY_OFFICIAL_INTEGRATION_CANDIDATE,READY_FOR_INTEGRATION,R23B full-history-ready and R23C normalized-file quality gate passed.
