ticker,old_tier,new_tier,tier_action,promotion_score,demotion_score,promotion_reason,demotion_reason,data_sufficiency_status,scan_status,promotion_candidate_flag,demotion_candidate_flag,cap_limited,first_run_conservative_limit_applied,is_position,protected_position,same_day_core_promotion_guard,core_promotion_allowed_this_run,updated_state,failed_reason
AA,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,20,135,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;below_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AAL,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,145,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_negative;ret_120d_negative;relative_strength_vs_qqq_positive;above_ma20;above_ma60;early_uptrend,ret_60d_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AAPL,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ABR,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ACLS,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ACM,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
ACMR,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,175,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_negative;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;early_uptrend,ret_60d_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ADBE,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,50,40,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma20;above_ma60,ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ADMA,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ADSK,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,130,25,promotion_candidate;full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma20;above_ma60,ret_20d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AEHR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AEIS,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-10,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_positive;below_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
AEVA,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
