ticker,old_tier,new_tier,tier_action,promotion_score,demotion_score,same_day_core_promotion_guard,core_promotion_allowed_this_run,cap_limited,protected_position,updated_state,failed_reason
AAPL,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
ACLS,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
ACM,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,TRUE,TRUE,FALSE,FALSE,TRUE,
ACMR,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,175,15,TRUE,TRUE,FALSE,FALSE,TRUE,
AEHR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
ALAB,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
AMAT,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
AMD,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
AMKR,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,160,25,TRUE,TRUE,FALSE,FALSE,TRUE,
AMZN,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,160,25,TRUE,TRUE,FALSE,FALSE,TRUE,
ANET,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,50,115,TRUE,TRUE,FALSE,FALSE,TRUE,
APH,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,TRUE,TRUE,FALSE,FALSE,TRUE,
ARM,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
ASML,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
AVGO,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
BE,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
BTDR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
CAMT,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,20,135,TRUE,TRUE,FALSE,FALSE,TRUE,
CARR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
CEG,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,TRUE,TRUE,FALSE,FALSE,TRUE,
CIEN,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
CIFR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
COHR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
CORZ,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
CRWD,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
CSCO,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
DDOG,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
FLEX,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
FN,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,TRUE,TRUE,FALSE,FALSE,TRUE,
GLW,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
GNRC,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
GOOGL,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
HPE,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,TRUE,TRUE,FALSE,FALSE,TRUE,
ICHR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,TRUE,TRUE,FALSE,FALSE,TRUE,
INTC,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,TRUE,TRUE,TRUE,FALSE,TRUE,
IREN,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,210,0,TRUE,TRUE,TRUE,FALSE,TRUE,
KLAC,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,TRUE,TRUE,TRUE,FALSE,TRUE,
LITE,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,TRUE,TRUE,TRUE,FALSE,TRUE,
LRCX,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,TRUE,TRUE,TRUE,FALSE,TRUE,
MDB,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,145,15,TRUE,TRUE,FALSE,FALSE,TRUE,
MKSI,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,TRUE,TRUE,TRUE,FALSE,TRUE,
MU,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,TRUE,TRUE,TRUE,FALSE,TRUE,
NTAP,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,210,0,TRUE,TRUE,TRUE,FALSE,TRUE,
NVDA,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,210,0,TRUE,TRUE,TRUE,FALSE,TRUE,
ON,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,TRUE,TRUE,TRUE,FALSE,TRUE,
