ticker,scan_count_in_window,duplicate_scan_count,scan_dates_in_window,evidence_sources,audit_status
AAPL,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
ACLS,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
ACM,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
ACMR,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
AEHR,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
ALAB,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
AMAT,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
AMD,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
AMKR,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
AMZN,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
ANET,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
APH,2,1,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,REPEATED_SCAN_REDUCED_UNIQUE_COVERAGE_CAPACITY
