ticker,universe_tier,last_scan_date,days_since_last_scan,scan_priority,reason
CAI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CART,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CDNS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CDTX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CFLT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CHPT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CHRW,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CHYM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CLF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CLH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CLSK,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CMG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CNM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
COF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
COG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
COGT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CPAY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CPNG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CRCL,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CRH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CRS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CSGP,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
CVNA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DAKT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DAL,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DASH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DBVT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DIS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DOCU,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
DUOL,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
EEM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
ENPH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
EQIX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
EQT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
ET,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
EWY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
EWZ,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
FCNCA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
FIGR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
FLS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
FLUT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
FWONK,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GEHC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GEMI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GOOG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GRAB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GSG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
GT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HIVE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HLT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HOOD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HTZ,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HUBS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HUM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
HUT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
IBIT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
INFY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
INSM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
ISRG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
IWM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
JBS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
JCI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
JD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
JFROG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
JHX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KKR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KLAR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KNX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KRC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KVYO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
KWEB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LBRT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LCID,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LHX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LIN,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LINE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LPLA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LSCC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LYB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
LYFT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MCK,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MELI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MNTN,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MOH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MPLX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MPW,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MTSI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
MTZ,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
