ticker,tier,last_scan_date,current_priority,recommended_scan_day,recommended_reason,stale_risk_level,confidence
AAPL,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
ACLS,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
ACM,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
AEHR,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
ALAB,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
AMAT,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
AMD,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
APH,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
ARM,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
ASML,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
AVGO,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
BE,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
BTDR,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CAMT,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CARR,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CEG,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CIEN,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CIFR,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
COHR,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CORZ,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CRWD,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
CSCO,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
DDOG,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
FLEX,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
FN,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
GLW,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
GNRC,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
GOOGL,CORE_DAILY,2026-05-19,800,EVERY_DAY,CORE_DAILY receives daily/near-daily coverage before lower tiers.,LOW,HIGH
