ticker,in_universe,covered_in_true_5day_window,scan_count_in_window,duplicate_scan_count,latest_scan_date,oldest_scan_date,scan_dates_in_window,evidence_sources,coverage_status
AMKR,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
AMZN,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
ANET,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
APG,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
APH,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
APLD,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
APO,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
APP,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
ARGT,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
ARM,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
ASML,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
AVGO,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
AXON,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BABA,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BAC,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BALL,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BE,TRUE,TRUE,2,1,2026-05-20,2026-05-19,2026-05-20;2026-05-19,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv;D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BIDU,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BITF,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BKNG,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
BLSH,TRUE,TRUE,1,0,2026-05-19,2026-05-19,2026-05-19,D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv;D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,COVERED
