ticker,build_attempted,build_success,row_count,status,error_message
AMC,TRUE,TRUE,3124,TECHNICAL_ROW_STAGED,
APLD,TRUE,TRUE,1030,TECHNICAL_ROW_STAGED,
BW,TRUE,TRUE,2750,TECHNICAL_ROW_STAGED,
BYND,TRUE,TRUE,1774,TECHNICAL_ROW_STAGED,
COGT,TRUE,TRUE,2048,TECHNICAL_ROW_STAGED,
CVNA,TRUE,TRUE,2279,TECHNICAL_ROW_STAGED,
DBVT,TRUE,TRUE,2912,TECHNICAL_ROW_STAGED,
FCNCA,TRUE,TRUE,9971,TECHNICAL_ROW_STAGED,
HOOD,TRUE,TRUE,1209,TECHNICAL_ROW_STAGED,
HTZ,TRUE,TRUE,1228,TECHNICAL_ROW_STAGED,
INSM,TRUE,TRUE,6532,TECHNICAL_ROW_STAGED,
NVAX,TRUE,TRUE,7665,TECHNICAL_ROW_STAGED,
OKTA,TRUE,TRUE,2293,TECHNICAL_ROW_STAGED,
OLMA,TRUE,TRUE,1381,TECHNICAL_ROW_STAGED,
OLPX,TRUE,TRUE,1165,TECHNICAL_ROW_STAGED,
OPCH,TRUE,TRUE,7489,TECHNICAL_ROW_STAGED,
PATH,TRUE,TRUE,1278,TECHNICAL_ROW_STAGED,
PCOR,TRUE,TRUE,1257,TECHNICAL_ROW_STAGED,
PCT,TRUE,TRUE,1472,TECHNICAL_ROW_STAGED,
PDD,TRUE,TRUE,1966,TECHNICAL_ROW_STAGED,
PFGC,TRUE,TRUE,2676,TECHNICAL_ROW_STAGED,
PGNY,TRUE,TRUE,1651,TECHNICAL_ROW_STAGED,
PI,TRUE,TRUE,2473,TECHNICAL_ROW_STAGED,
PINS,TRUE,TRUE,1783,TECHNICAL_ROW_STAGED,
PLUG,TRUE,TRUE,6680,TECHNICAL_ROW_STAGED,
PM,TRUE,TRUE,4575,TECHNICAL_ROW_STAGED,
PSIX,TRUE,TRUE,3545,TECHNICAL_ROW_STAGED,
PTGX,TRUE,TRUE,2458,TECHNICAL_ROW_STAGED,
PTON,TRUE,TRUE,1672,TECHNICAL_ROW_STAGED,
PUMP,TRUE,TRUE,2308,TECHNICAL_ROW_STAGED,
PYPL,TRUE,TRUE,2737,TECHNICAL_ROW_STAGED,
QS,TRUE,TRUE,1448,TECHNICAL_ROW_STAGED,
QSR,TRUE,TRUE,2877,TECHNICAL_ROW_STAGED,
RBLX,TRUE,TRUE,1307,TECHNICAL_ROW_STAGED,
RERE,TRUE,TRUE,1237,TECHNICAL_ROW_STAGED,
RH,TRUE,TRUE,3407,TECHNICAL_ROW_STAGED,
RIOT,TRUE,TRUE,2551,TECHNICAL_ROW_STAGED,
RKT,TRUE,TRUE,1455,TECHNICAL_ROW_STAGED,
RNG,TRUE,TRUE,3181,TECHNICAL_ROW_STAGED,
ROKU,TRUE,TRUE,2173,TECHNICAL_ROW_STAGED,
RSP,TRUE,TRUE,5802,TECHNICAL_ROW_STAGED,
RTX,TRUE,TRUE,16142,TECHNICAL_ROW_STAGED,
RVMD,TRUE,TRUE,1576,TECHNICAL_ROW_STAGED,
SATS,TRUE,TRUE,4626,TECHNICAL_ROW_STAGED,
SCCO,TRUE,TRUE,7644,TECHNICAL_ROW_STAGED,
SCHW,TRUE,TRUE,9740,TECHNICAL_ROW_STAGED,
SE,TRUE,TRUE,2157,TECHNICAL_ROW_STAGED,
SEI,TRUE,TRUE,2269,TECHNICAL_ROW_STAGED,
SFIX,TRUE,TRUE,2137,TECHNICAL_ROW_STAGED,
SFM,TRUE,TRUE,3221,TECHNICAL_ROW_STAGED,
SHOP,TRUE,TRUE,2768,TECHNICAL_ROW_STAGED,
