ticker,build_attempted,build_success,row_count,status,error_message
RERE,TRUE,TRUE,1237,FACTOR_ROW_STAGED,
RH,TRUE,TRUE,3407,FACTOR_ROW_STAGED,
RIOT,TRUE,TRUE,2551,FACTOR_ROW_STAGED,
RKT,TRUE,TRUE,1455,FACTOR_ROW_STAGED,
RNG,TRUE,TRUE,3181,FACTOR_ROW_STAGED,
ROKU,TRUE,TRUE,2173,FACTOR_ROW_STAGED,
RSP,TRUE,TRUE,5802,FACTOR_ROW_STAGED,
RTX,TRUE,TRUE,16142,FACTOR_ROW_STAGED,
RVMD,TRUE,TRUE,1576,FACTOR_ROW_STAGED,
SATS,TRUE,TRUE,4626,FACTOR_ROW_STAGED,
SCCO,TRUE,TRUE,7644,FACTOR_ROW_STAGED,
SCHW,TRUE,TRUE,9740,FACTOR_ROW_STAGED,
SE,TRUE,TRUE,2157,FACTOR_ROW_STAGED,
SEI,TRUE,TRUE,2269,FACTOR_ROW_STAGED,
SFIX,TRUE,TRUE,2137,FACTOR_ROW_STAGED,
SFM,TRUE,TRUE,3221,FACTOR_ROW_STAGED,
SHOP,TRUE,TRUE,2768,FACTOR_ROW_STAGED,
SHW,TRUE,TRUE,11640,FACTOR_ROW_STAGED,
SITM,TRUE,TRUE,1633,FACTOR_ROW_STAGED,
SMTC,TRUE,TRUE,11640,FACTOR_ROW_STAGED,
SNPS,TRUE,TRUE,8620,FACTOR_ROW_STAGED,
SPOT,TRUE,TRUE,2046,FACTOR_ROW_STAGED,
STG,TRUE,TRUE,2052,FACTOR_ROW_STAGED,
STM,TRUE,TRUE,7915,FACTOR_ROW_STAGED,
TEAM,TRUE,TRUE,2627,FACTOR_ROW_STAGED,
TEVA,TRUE,TRUE,11156,FACTOR_ROW_STAGED,
TIGR,TRUE,TRUE,1804,FACTOR_ROW_STAGED,
TSEM,TRUE,TRUE,7945,FACTOR_ROW_STAGED,
TTD,TRUE,TRUE,2430,FACTOR_ROW_STAGED,
TTMI,TRUE,TRUE,6452,FACTOR_ROW_STAGED,
TTWO,TRUE,TRUE,7322,FACTOR_ROW_STAGED,
TWLO,TRUE,TRUE,2492,FACTOR_ROW_STAGED,
TWST,TRUE,TRUE,1898,FACTOR_ROW_STAGED,
U,TRUE,TRUE,1425,FACTOR_ROW_STAGED,
UAL,TRUE,TRUE,5105,FACTOR_ROW_STAGED,
UBER,TRUE,TRUE,1768,FACTOR_ROW_STAGED,
UNH,TRUE,TRUE,10479,FACTOR_ROW_STAGED,
UPST,TRUE,TRUE,1363,FACTOR_ROW_STAGED,
USFD,TRUE,TRUE,2511,FACTOR_ROW_STAGED,
V,TRUE,TRUE,4573,FACTOR_ROW_STAGED,
VEEV,TRUE,TRUE,3168,FACTOR_ROW_STAGED,
VIAV,TRUE,TRUE,8182,FACTOR_ROW_STAGED,
VIST,TRUE,TRUE,1715,FACTOR_ROW_STAGED,
VMC,TRUE,TRUE,13426,FACTOR_ROW_STAGED,
WAB,TRUE,TRUE,7784,FACTOR_ROW_STAGED,
WDAY,TRUE,TRUE,3420,FACTOR_ROW_STAGED,
WHR,TRUE,TRUE,13426,FACTOR_ROW_STAGED,
WING,TRUE,TRUE,2752,FACTOR_ROW_STAGED,
WLK,TRUE,TRUE,5479,FACTOR_ROW_STAGED,
WULF,TRUE,TRUE,8087,FACTOR_ROW_STAGED,
WVE,TRUE,TRUE,2646,FACTOR_ROW_STAGED,
WWD,TRUE,TRUE,8088,FACTOR_ROW_STAGED,
XENE,TRUE,TRUE,2902,FACTOR_ROW_STAGED,
XLF,TRUE,TRUE,6895,FACTOR_ROW_STAGED,
XPO,TRUE,TRUE,5692,FACTOR_ROW_STAGED,
XYZ,TRUE,TRUE,2640,FACTOR_ROW_STAGED,
YPF,TRUE,TRUE,8281,FACTOR_ROW_STAGED,
Z,TRUE,TRUE,2717,FACTOR_ROW_STAGED,
ZG,TRUE,TRUE,3732,FACTOR_ROW_STAGED,
