ticker,merge_action,attempted,success,pre_row_exists,post_row_exists,reason
AMC,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
APLD,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
BW,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
BYND,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
COGT,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
CVNA,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
DBVT,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
FCNCA,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
HOOD,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
HTZ,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
INSM,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
NVAX,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
OKTA,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
OLMA,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
OLPX,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
OPCH,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PATH,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PCOR,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PCT,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PDD,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PFGC,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PGNY,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PI,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PINS,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PLUG,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PM,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PSIX,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PTGX,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PTON,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
PUMP,APPEND_NEW_ROW,TRUE,TRUE,FALSE,TRUE,merged
