ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
AMC,AMC,2026-05-21,1.559999942779541,1.483,1.716589,1.249411,0.664819,0.315023,False,BB_UPPER_HALF,56.470583,RSI_NEUTRAL,61.538451,61.538451,61.538451,KDJ_NEUTRAL,0.889458,0,0,0,50.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
APLD,APLD,2026-05-21,48.02000045776367,39.51725,49.385005,29.649496,0.930835,0.499415,False,BB_UPPER_HALF,67.246722,RSI_NEUTRAL,96.661225,96.661225,96.661225,KDJ_NEUTRAL,1.045437,0,0,10,40.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
BW,BW,2026-05-21,20.540000915527344,17.254,22.529382,11.978618,0.811447,0.611497,False,BB_UPPER_HALF,72.081913,RSI_NEUTRAL,82.366868,82.366868,82.366868,KDJ_NEUTRAL,1.355399,0,0,0,40.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
BYND,BYND,2026-05-21,0.7889999747276306,0.85505,1.010885,0.699215,0.288077,0.364505,False,BB_LOWER_HALF,34.435791,RSI_WEAK,19.938651,19.938651,19.938651,KDJ_OVERSOLD,0.462202,0,10,0,70.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
COGT,COGT,2026-05-21,32.58000183105469,34.753,38.310948,31.195052,0.194628,0.204756,False,BB_LOWER_HALF,27.399546,RSI_OVERSOLD,25.753037,25.753037,25.753037,KDJ_NEUTRAL,1.309424,0,10,0,70.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CVNA,CVNA,2026-05-21,64.38999938964844,74.0806,86.257857,61.903343,0.102102,0.328757,False,BB_LOWER_HALF,25.383568,RSI_OVERSOLD,15.819749,15.819749,15.819749,KDJ_OVERSOLD,0.90998,0,10,0,70.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
DBVT,DBVT,2026-05-21,18.56999969482422,19.738,21.122696,18.353304,0.078247,0.140308,False,BB_LOWER_HALF,35.294118,RSI_WEAK,17.832172,17.832172,17.832172,KDJ_OVERSOLD,0.734244,0,10,0,70.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
FCNCA,FCNCA,2026-05-21,1989.47998046875,1956.459998,2011.850954,1901.069041,0.798063,0.056624,False,BB_UPPER_HALF,50.679961,RSI_NEUTRAL,63.756343,63.756343,63.756343,KDJ_NEUTRAL,0.954491,0,0,0,50.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
HOOD,HOOD,2026-05-21,75.91999816894531,77.5525,84.399757,70.705242,0.380792,0.176584,False,BB_LOWER_HALF,53.901925,RSI_NEUTRAL,31.314261,31.314261,31.314261,KDJ_NEUTRAL,0.739224,0,0,0,50.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
HTZ,HTZ,2026-05-21,5.059999942779541,5.751,6.642199,4.859801,0.11232,0.309928,False,BB_LOWER_HALF,33.928571,RSI_WEAK,14.60673,14.60673,14.60673,KDJ_OVERSOLD,0.694524,0,10,0,70.0,TECH_TIMING_STAGED_REFRESH,STAGED_R25B_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
