priority_rank,ticker,source_batch,target_status,price_cache_file,price_row_count,reason
51,SHOP,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SHOP.csv,2768,
52,SHW,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SHW.csv,11640,
53,SITM,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SITM.csv,1633,
54,SMTC,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SMTC.csv,11640,
55,SNPS,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SNPS.csv,8620,
56,SPOT,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/SPOT.csv,2046,
57,STG,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/STG.csv,2052,
58,STM,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/STM.csv,7915,
59,TEAM,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TEAM.csv,2627,
60,TEVA,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TEVA.csv,11156,
61,TIGR,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TIGR.csv,1804,
62,TSEM,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TSEM.csv,7945,
63,TTD,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TTD.csv,2430,
64,TTMI,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TTMI.csv,6452,
65,TTWO,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TTWO.csv,7322,
66,TWLO,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TWLO.csv,2492,
67,TWST,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/TWST.csv,1898,
68,U,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/U.csv,1425,
69,UAL,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/UAL.csv,5105,
70,UBER,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/UBER.csv,1768,
71,UNH,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/UNH.csv,10479,
72,UPST,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/UPST.csv,1363,
73,USFD,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/USFD.csv,2511,
74,V,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/V.csv,4573,
75,VEEV,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/VEEV.csv,3168,
76,VIAV,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/VIAV.csv,8182,
77,VIST,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/VIST.csv,1715,
78,VMC,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/VMC.csv,13426,
79,WAB,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WAB.csv,7784,
80,WDAY,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WDAY.csv,3420,
81,WHR,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WHR.csv,13426,
82,WING,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WING.csv,2752,
83,WLK,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WLK.csv,5479,
84,WULF,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WULF.csv,8087,
85,WVE,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WVE.csv,2646,
86,WWD,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/WWD.csv,8088,
87,XENE,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/XENE.csv,2902,
88,XLF,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/XLF.csv,6895,
89,XPO,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/XPO.csv,5692,
90,XYZ,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/XYZ.csv,2640,
91,YPF,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/YPF.csv,8281,
92,Z,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/Z.csv,2717,
93,ZG,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/ZG.csv,3732,
