metric,value,expected,status,notes
R27F_STATUS,OK_V18_25A_R27F_STAGED_FACTOR_TECHNICAL_ROWS_READY,OK_V18_25A_R27F_STAGED_FACTOR_TECHNICAL_ROWS_READY,OK,
STAGED_FACTOR_ROW_COUNT,2,2,OK,
STAGED_TECHNICAL_ROW_COUNT,2,2,OK,
FACTOR_VALIDATION_PASS_COUNT,2,2,OK,
FACTOR_VALIDATION_FAIL_COUNT,0,0,OK,
TECHNICAL_VALIDATION_PASS_COUNT,2,2,OK,
TECHNICAL_VALIDATION_FAIL_COUNT,0,0,OK,
MERGE_PLAN_ROW_COUNT,2,2,OK,
MERGE_ALLOWED_COUNT,2,2,OK,
MERGE_BLOCKED_COUNT,0,0,OK,
