ticker,ledger_update_status,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count,local_price_available,full_history_ready,failure_reason
CNM,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
COF,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
CPAY,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
CPNG,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
CRH,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
CRS,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
CSGP,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DAKT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DAL,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DASH,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DB,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DIS,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
DOCU,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
