ticker,official_price_cache_path,official_price_cache_available,row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,full_history_ready,scan_result,error_message
RVMD,D:\us-tech-quant\state\v18\price_cache\RVMD.csv,TRUE,1576,2020-02-13,2026-05-21,2026-05-21,TRUE,1576,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SATS,D:\us-tech-quant\state\v18\price_cache\SATS.csv,TRUE,4626,2008-01-02,2026-05-21,2026-05-21,TRUE,4626,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SCCO,D:\us-tech-quant\state\v18\price_cache\SCCO.csv,TRUE,7644,1996-01-05,2026-05-21,2026-05-21,TRUE,7644,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SCHW,D:\us-tech-quant\state\v18\price_cache\SCHW.csv,TRUE,9740,1987-09-22,2026-05-21,2026-05-21,TRUE,9740,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SE,D:\us-tech-quant\state\v18\price_cache\SE.csv,TRUE,2157,2017-10-20,2026-05-21,2026-05-21,TRUE,2157,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SEI,D:\us-tech-quant\state\v18\price_cache\SEI.csv,TRUE,2269,2017-05-12,2026-05-21,2026-05-21,TRUE,2269,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SFIX,D:\us-tech-quant\state\v18\price_cache\SFIX.csv,TRUE,2137,2017-11-17,2026-05-21,2026-05-21,TRUE,2137,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SFM,D:\us-tech-quant\state\v18\price_cache\SFM.csv,TRUE,3221,2013-08-01,2026-05-21,2026-05-21,TRUE,3221,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SHOP,D:\us-tech-quant\state\v18\price_cache\SHOP.csv,TRUE,2768,2015-05-20,2026-05-21,2026-05-21,TRUE,2768,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SHW,D:\us-tech-quant\state\v18\price_cache\SHW.csv,TRUE,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SITM,D:\us-tech-quant\state\v18\price_cache\SITM.csv,TRUE,1633,2019-11-20,2026-05-21,2026-05-21,TRUE,1633,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SMTC,D:\us-tech-quant\state\v18\price_cache\SMTC.csv,TRUE,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SNPS,D:\us-tech-quant\state\v18\price_cache\SNPS.csv,TRUE,8620,1992-02-26,2026-05-21,2026-05-21,TRUE,8620,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
SPOT,D:\us-tech-quant\state\v18\price_cache\SPOT.csv,TRUE,2046,2018-04-03,2026-05-21,2026-05-21,TRUE,2046,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
STG,D:\us-tech-quant\state\v18\price_cache\STG.csv,TRUE,2052,2018-03-23,2026-05-21,2026-05-21,TRUE,2052,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
STM,D:\us-tech-quant\state\v18\price_cache\STM.csv,TRUE,7915,1994-12-08,2026-05-21,2026-05-21,TRUE,7915,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TEAM,D:\us-tech-quant\state\v18\price_cache\TEAM.csv,TRUE,2627,2015-12-09,2026-05-21,2026-05-21,TRUE,2627,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TEVA,D:\us-tech-quant\state\v18\price_cache\TEVA.csv,TRUE,11156,1982-02-16,2026-05-21,2026-05-21,TRUE,11156,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TIGR,D:\us-tech-quant\state\v18\price_cache\TIGR.csv,TRUE,1804,2019-03-20,2026-05-21,2026-05-21,TRUE,1804,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TSEM,D:\us-tech-quant\state\v18\price_cache\TSEM.csv,TRUE,7945,1994-10-26,2026-05-21,2026-05-21,TRUE,7945,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TTD,D:\us-tech-quant\state\v18\price_cache\TTD.csv,TRUE,2430,2016-09-21,2026-05-21,2026-05-21,TRUE,2430,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TTMI,D:\us-tech-quant\state\v18\price_cache\TTMI.csv,TRUE,6452,2000-09-25,2026-05-21,2026-05-21,TRUE,6452,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TTWO,D:\us-tech-quant\state\v18\price_cache\TTWO.csv,TRUE,7322,1997-04-15,2026-05-21,2026-05-21,TRUE,7322,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TWLO,D:\us-tech-quant\state\v18\price_cache\TWLO.csv,TRUE,2492,2016-06-23,2026-05-21,2026-05-21,TRUE,2492,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
TWST,D:\us-tech-quant\state\v18\price_cache\TWST.csv,TRUE,1898,2018-10-31,2026-05-21,2026-05-21,TRUE,1898,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
U,D:\us-tech-quant\state\v18\price_cache\U.csv,TRUE,1425,2020-09-18,2026-05-21,2026-05-21,TRUE,1425,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
UAL,D:\us-tech-quant\state\v18\price_cache\UAL.csv,TRUE,5105,2006-02-06,2026-05-21,2026-05-21,TRUE,5105,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
UBER,D:\us-tech-quant\state\v18\price_cache\UBER.csv,TRUE,1768,2019-05-10,2026-05-21,2026-05-21,TRUE,1768,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
UNH,D:\us-tech-quant\state\v18\price_cache\UNH.csv,TRUE,10479,1984-10-17,2026-05-21,2026-05-21,TRUE,10479,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
