source_id,source_path,file_exists,detected_ticker_column,raw_row_count,nonblank_ticker_row_count,normalized_unique_ticker_count,duplicate_ticker_count,blank_ticker_row_count,invalid_suspicious_ticker_count,source_role,source_trust_level,content_sha256,notes
STATE_RAW105_UNIVERSE_FOR_FACTOR_LAB,state/v18/raw105_universe_for_factor_lab.csv,TRUE,ticker,105,105,105,0,0,0,factor_lab_subset,LOW,9349c92d72d0852ade3b6b42cddd5823f3c885b1893749ea86e84f1d755ae7fc,Ticker-bearing source.
CONFIG_V16_FULL_SCREENED,configs/v16/universe/us_full_screened_generated.yaml,TRUE,YAML_REGEX_TICKER,105,105,105,0,0,0,config_reference,LOW,df6253b79dc42516cfc644ceb6b63a3df95928138f47a3621c780239db4648de,Ticker-bearing source.
CONFIG_V16_SECOND_STAGE,configs/v16/universe/us_full_second_stage_generated.yaml,TRUE,YAML_REGEX_TICKER,20,20,20,0,0,0,config_reference,LOW,45778e5a44fb30e8623720693d66a86a47b2915a768afd1cda3f591c4aba3ed1,Ticker-bearing source.
V18_12H_CURRENT_SELL_TIMING_READ_LINK_INPUT_AUDIT,outputs/v18/read_center/V18_12H_CURRENT_SELL_TIMING_READ_LINK_INPUT_AUDIT.csv,TRUE,,5,0,0,0,0,0,read_center_current,MEDIUM,392e7858fa512d302a06b70a9db29e6896671f85ad4e219177dfc7fd3d9da377,No usable ticker set detected.
V18_12H_CURRENT_SELL_TIMING_READ_LINK_SUMMARY,outputs/v18/read_center/V18_12H_CURRENT_SELL_TIMING_READ_LINK_SUMMARY.csv,TRUE,,15,0,0,0,0,0,read_center_current,MEDIUM,aaef82b7b82d46202390c2138e919323c8c1067767792768b1dd22f73a199bd0,No usable ticker set detected.
V18_13A_CURRENT_UNIFIED_DAILY_INPUT_AUDIT,outputs/v18/read_center/V18_13A_CURRENT_UNIFIED_DAILY_INPUT_AUDIT.csv,TRUE,,173,0,0,0,0,0,read_center_current,MEDIUM,3e24c2874a4cd86efd4369781488b81dc5b7345cb03145fc4574d99044d189c0,No usable ticker set detected.
V18_13A_CURRENT_UNIFIED_DAILY_SUMMARY,outputs/v18/read_center/V18_13A_CURRENT_UNIFIED_DAILY_SUMMARY.csv,TRUE,,17,0,0,0,0,0,read_center_current,MEDIUM,a2b9660e87fe858af11f862ae9e6c0e6dfb5b2766065eba93ca7018dc751e479,No usable ticker set detected.
V18_13B_CURRENT_RANKED_CANDIDATE_SUMMARY,outputs/v18/read_center/V18_13B_CURRENT_RANKED_CANDIDATE_SUMMARY.csv,TRUE,,16,0,0,0,0,0,read_center_current,MEDIUM,ea8dbd5f7921b1cb1b80bb2bd33b80e4a448d4395f651136ee6e8ccbeeb3f87c,No usable ticker set detected.
V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT,outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv,TRUE,,14,0,0,0,0,0,read_center_current,MEDIUM,ebe43c8436f98c680de34ae77e0533ce26f3f224396ca7ac8bbc1b23c244f2e5,No usable ticker set detected.
V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_SUMMARY,outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_SUMMARY.csv,TRUE,,18,0,0,0,0,0,read_center_current,MEDIUM,012c6ed492ad8c7b6f342ed09f7f2435b3687bc2c7f11dc4124da7a5118da03e,No usable ticker set detected.
V18_13D_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT,outputs/v18/read_center/V18_13D_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,TRUE,,11,0,0,0,0,0,read_center_current,MEDIUM,e90b47868e6a2b590b1afc41b789a76b4dee6d7c597abb927559a3cc037be5e2,No usable ticker set detected.
V18_13D_CURRENT_DAILY_COMMAND_CENTER_SUMMARY,outputs/v18/read_center/V18_13D_CURRENT_DAILY_COMMAND_CENTER_SUMMARY.csv,TRUE,,20,0,0,0,0,0,read_center_current,MEDIUM,dbb276985ff167b1a41bcb4c0ef21d3dcf17e6e709f4674f5820a866ded53078,No usable ticker set detected.
V18_22A_CURRENT_GATE_MATRIX,outputs/v18/research_command_center/V18_22A_CURRENT_GATE_MATRIX.csv,TRUE,,11,0,0,0,0,0,research_command_center_current,MEDIUM,6df31d4bbcbc000a79f0404c70823908bd241fe4815bbeb599d88f426293534a,No usable ticker set detected.
V18_22A_CURRENT_LAYER_STATUS,outputs/v18/research_command_center/V18_22A_CURRENT_LAYER_STATUS.csv,TRUE,,9,0,0,0,0,0,research_command_center_current,MEDIUM,8966fa2345ea646a4c2156e320b739ef46462e7be8d101dd3c2cb45b77abb753,No usable ticker set detected.
V18_22A_CURRENT_OPERATOR_NEXT_ACTION_BOARD,outputs/v18/research_command_center/V18_22A_CURRENT_OPERATOR_NEXT_ACTION_BOARD.csv,TRUE,,7,0,0,0,0,0,research_command_center_current,MEDIUM,c16a3955e80c248c8dccd078838c55443b3edee00f94fbdddf96e7fe6431f618,No usable ticker set detected.
V18_22A_CURRENT_RESEARCH_BOTTLENECK_DASHBOARD,outputs/v18/research_command_center/V18_22A_CURRENT_RESEARCH_BOTTLENECK_DASHBOARD.csv,TRUE,,9,0,0,0,0,0,research_command_center_current,MEDIUM,ce5e8ecdc1c07e9b402d770f1550bfe938c7a90c035ea0d15f0f4e34240b024a,No usable ticker set detected.
V18_22A_CURRENT_SAFETY_AUDIT,outputs/v18/research_command_center/V18_22A_CURRENT_SAFETY_AUDIT.csv,TRUE,,25,0,0,0,0,0,research_command_center_current,MEDIUM,3c09ca0504cc14d95129db90c5957b271ff88dce0512ec758d9d06fcceaf10bb,No usable ticker set detected.
V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,TRUE,,6,0,0,0,0,0,research_command_center_current,MEDIUM,5742e8a185ad316106305817091012fbd6ded691117c52084c08049583dd86bc,No usable ticker set detected.
V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,TRUE,,8,0,0,0,0,0,research_command_center_current,MEDIUM,c99496e297f2bb009fc5db016acf1d485338b9ed1dc7ef8b1f1220642a4fbdee,No usable ticker set detected.
V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT,outputs/v18/research_command_center/V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,TRUE,,15,0,0,0,0,0,research_command_center_current,MEDIUM,41615144af011968c17f9c6d8c85b7fc75c35115cd3316abbace801205f19f32,No usable ticker set detected.
V18_22B_CURRENT_WRAPPER_VALIDATION,outputs/v18/research_command_center/V18_22B_CURRENT_WRAPPER_VALIDATION.csv,TRUE,,24,0,0,0,0,0,research_command_center_current,MEDIUM,5160cf4dbbcb2a11915948e2f7617db5bcbe25ed96fbc01e4b8f1bfa1e82039f,No usable ticker set detected.
V18_22C_CURRENT_DO_NOT_DO_YET_CHECKLIST,outputs/v18/research_packets/V18_22C_CURRENT_DO_NOT_DO_YET_CHECKLIST.csv,TRUE,,10,0,0,0,0,0,research_packet_current,MEDIUM,52e0d191d7365de27d8392e3fa3a6cf71471ddcb38fd72f04601fb33d3795d87,No usable ticker set detected.
V18_22C_CURRENT_NEXT_ACTION_CHECKLIST,outputs/v18/research_packets/V18_22C_CURRENT_NEXT_ACTION_CHECKLIST.csv,TRUE,,6,0,0,0,0,0,research_packet_current,MEDIUM,2cdfd1153630c4d88de093239ce075f07ced00f972aeeed1bd5241f2375b9972,No usable ticker set detected.
V18_22C_CURRENT_RESEARCH_PACKET_SOURCE_AUDIT,outputs/v18/research_packets/V18_22C_CURRENT_RESEARCH_PACKET_SOURCE_AUDIT.csv,TRUE,,16,0,0,0,0,0,research_packet_current,MEDIUM,3a07192276e14b3c3ac4190afb773c3a2daf4412aadd4061bf32769e244f9024,No usable ticker set detected.
V18_22C_CURRENT_RESEARCH_PACKET_VALIDATION,outputs/v18/research_packets/V18_22C_CURRENT_RESEARCH_PACKET_VALIDATION.csv,TRUE,,28,0,0,0,0,0,research_packet_current,MEDIUM,12e67b19a9f513cb9d75e829c2d6ab1f980cbb0e4ca06253fc08e99f6ee428f5,No usable ticker set detected.
EVENT_CALENDAR,state/v16/event_calendar.csv,TRUE,ticker,5,5,5,0,0,0,state_v16_reference,LOW,1c81e83cce4ba6c69b8029d9a611df334843ee7b76fecfeddeb632a6d89345da,Ticker-bearing source.
