ticker,force_eligible,classification,selection_reason,selected,last_success_scan_date,last_scan_status,last_scan_run_id,attempt_scan_count,success_scan_count
AA,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
AAL,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
AAPL,FALSE,CURRENT_SUCCESS_IN_WINDOW,CURRENT_SUCCESS_IN_WINDOW,FALSE,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1
ABR,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
ACLS,FALSE,CURRENT_SUCCESS_IN_WINDOW,CURRENT_SUCCESS_IN_WINDOW,FALSE,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1
ACM,FALSE,CURRENT_SUCCESS_IN_WINDOW,CURRENT_SUCCESS_IN_WINDOW,FALSE,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1
ACMR,FALSE,CURRENT_SUCCESS_IN_WINDOW,CURRENT_SUCCESS_IN_WINDOW,FALSE,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1
ADBE,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
ADMA,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
ADSK,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,FALSE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,2,0
