ticker,bucket,bucket_index,planned_today,last_scan_date,last_scan_status,days_since_last_scan,overdue_for_5day_window,source
AAPL,bucket_3,3,TRUE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ADBE,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AEVA,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AMAT,bucket_3,3,TRUE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ANET,bucket_3,3,TRUE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
APP,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AXON,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
BIDU,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
BN,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CAI,bucket_3,3,TRUE,,UNKNOWN,,UNKNOWN,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CDTX,bucket_3,3,TRUE,,UNKNOWN,,UNKNOWN,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CHYM,bucket_3,3,TRUE,,UNKNOWN,,UNKNOWN,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CLS,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
COG,bucket_3,3,TRUE,,UNKNOWN,,UNKNOWN,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CPAY,bucket_3,3,TRUE,,UNKNOWN,,UNKNOWN,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
CRM,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
