ticker,last_success_scan_date,last_scan_status,failure_reason,stale_reason
AA,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AAL,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
ABR,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
ADBE,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
ADMA,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
ADSK,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AEIS,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AEVA,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AFRM,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AGX,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
ALM,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
AMC,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
APG,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
APLD,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
APO,,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,NEVER_SUCCESS
