ticker,selected_in_r2,r2_scan_status,r2_failure_reason,canonical_universe_present,ledger_last_status,local_price_evidence,local_factor_pack_evidence,local_technical_timing_evidence,local_full_history_ready_evidence,found_in_any_local_source,local_source_count,strongest_evidence_source,likely_skip_category,repair_recommendation
CNM,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
COF,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
COG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
COGT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CPAY,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CPNG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CRCL,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CRH,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CRS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CSGP,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
CVNA,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DAKT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DAL,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DASH,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DB,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DBVT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DIS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DOCU,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
DUOL,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
EEM,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
ENPH,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
EQIX,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
EQT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
ET,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
EWY,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
EWZ,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
FCNCA,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
FIGR,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
FLS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
FLUT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
