ticker,official_path,official_file_exists,row_count,latest_date,local_price_scan_success,full_history_ready,notes
MPLX,D:\us-tech-quant\state\v18\price_cache\MPLX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
MTSI,D:\us-tech-quant\state\v18\price_cache\MTSI.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
MTZ,D:\us-tech-quant\state\v18\price_cache\MTZ.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NAMS,D:\us-tech-quant\state\v18\price_cache\NAMS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NFLX,D:\us-tech-quant\state\v18\price_cache\NFLX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NI,D:\us-tech-quant\state\v18\price_cache\NI.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NRG,D:\us-tech-quant\state\v18\price_cache\NRG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NTRA,D:\us-tech-quant\state\v18\price_cache\NTRA.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NU,D:\us-tech-quant\state\v18\price_cache\NU.csv,TRUE,1115,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
NUVB,D:\us-tech-quant\state\v18\price_cache\NUVB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
OC,D:\us-tech-quant\state\v18\price_cache\OC.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
