ticker,last_scan_status,last_success_scan_date,attempt_scan_count,success_scan_count,stale_reason
AMC,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
APLD,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
BLSH,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
BW,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
BYND,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CAI,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CDTX,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CFLT,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CHYM,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
COG,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
COGT,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CRCL,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
CVNA,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
DBVT,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
FCNCA,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
FIGR,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
GEMI,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
HOOD,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
HTZ,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
INSM,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
JBS,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
JFROG,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
KLAR,SKIPPED_NO_LOCAL_DATA,,2,0,NEVER_SUCCESS
LINE,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
MNTN,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
MPW,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
NVAX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
OKTA,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
OLMA,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
OLPX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
OPCH,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PATH,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PCOR,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PCT,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PDD,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PFGC,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PGNY,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PI,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
