ticker,scan_result,ledger_row_found,ledger_update_status,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count
AA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AAL,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ABR,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ADBE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ADMA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ADSK,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AEIS,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AEVA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AFRM,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AGX,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ALM,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
APG,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
APO,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
APP,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
ARGT,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
AXON,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BABA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BAC,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BALL,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BIDU,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BITF,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BKNG,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BLTE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BN,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
BSX,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CART,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CDNS,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CHPT,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CHRW,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CLF,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CLH,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CLSK,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
CMG,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,2,3
LPLA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
LSCC,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
LYB,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
LYFT,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MCK,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MELI,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MOH,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MPLX,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MTSI,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
MTZ,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NAMS,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NFLX,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NI,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NRG,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NTRA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NU,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
NUVB,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
OC,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,UPDATED,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2
