ticker,selection_reason,last_success_scan_date,last_scan_status,attempt_scan_count,success_scan_count
AA,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AAL,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ABR,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ADBE,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ADMA,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ADSK,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AEIS,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AEVA,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AFRM,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AGX,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ALM,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AMC,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
APG,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
APLD,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
APO,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
APP,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
ARGT,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
AXON,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BABA,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BAC,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BALL,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BIDU,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BITF,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BKNG,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BLSH,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BLTE,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
BN,FORCE_NEVER_SUCCESS,,SKIPPED_NO_LOCAL_DATA,1,0
