ticker,official_path,official_file_exists,row_count,latest_date,local_price_scan_success,full_history_ready,notes
CNM,D:\us-tech-quant\state\v18\price_cache\CNM.csv,TRUE,1213,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
COF,D:\us-tech-quant\state\v18\price_cache\COF.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
CPAY,D:\us-tech-quant\state\v18\price_cache\CPAY.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
CPNG,D:\us-tech-quant\state\v18\price_cache\CPNG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
CRH,D:\us-tech-quant\state\v18\price_cache\CRH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
CRS,D:\us-tech-quant\state\v18\price_cache\CRS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
CSGP,D:\us-tech-quant\state\v18\price_cache\CSGP.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DAKT,D:\us-tech-quant\state\v18\price_cache\DAKT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DAL,D:\us-tech-quant\state\v18\price_cache\DAL.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DASH,D:\us-tech-quant\state\v18\price_cache\DASH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DB,D:\us-tech-quant\state\v18\price_cache\DB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DIS,D:\us-tech-quant\state\v18\price_cache\DIS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DOCU,D:\us-tech-quant\state\v18\price_cache\DOCU.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
DUOL,D:\us-tech-quant\state\v18\price_cache\DUOL.csv,TRUE,1209,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
EEM,D:\us-tech-quant\state\v18\price_cache\EEM.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
ENPH,D:\us-tech-quant\state\v18\price_cache\ENPH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
EQIX,D:\us-tech-quant\state\v18\price_cache\EQIX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
EQT,D:\us-tech-quant\state\v18\price_cache\EQT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
ET,D:\us-tech-quant\state\v18\price_cache\ET.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
EWY,D:\us-tech-quant\state\v18\price_cache\EWY.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
EWZ,D:\us-tech-quant\state\v18\price_cache\EWZ.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
FLS,D:\us-tech-quant\state\v18\price_cache\FLS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
FLUT,D:\us-tech-quant\state\v18\price_cache\FLUT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
FWONK,D:\us-tech-quant\state\v18\price_cache\FWONK.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
GEHC,D:\us-tech-quant\state\v18\price_cache\GEHC.csv,TRUE,859,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
GOOG,D:\us-tech-quant\state\v18\price_cache\GOOG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
GRAB,D:\us-tech-quant\state\v18\price_cache\GRAB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
GS,D:\us-tech-quant\state\v18\price_cache\GS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,Official cache read-only retest after merge; ledger not updated.
