ticker,official_cache_path,official_cache_exists,row_count,latest_date,close_non_null_count,factor_pack_available,technical_timing_available,scan_result,failure_reason
AA,D:\us-tech-quant\state\v18\price_cache\AA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AAL,D:\us-tech-quant\state\v18\price_cache\AAL.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ABR,D:\us-tech-quant\state\v18\price_cache\ABR.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ADBE,D:\us-tech-quant\state\v18\price_cache\ADBE.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ADMA,D:\us-tech-quant\state\v18\price_cache\ADMA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ADSK,D:\us-tech-quant\state\v18\price_cache\ADSK.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AEIS,D:\us-tech-quant\state\v18\price_cache\AEIS.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AEVA,D:\us-tech-quant\state\v18\price_cache\AEVA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AFRM,D:\us-tech-quant\state\v18\price_cache\AFRM.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AGX,D:\us-tech-quant\state\v18\price_cache\AGX.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ALM,D:\us-tech-quant\state\v18\price_cache\ALM.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
APG,D:\us-tech-quant\state\v18\price_cache\APG.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
APO,D:\us-tech-quant\state\v18\price_cache\APO.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
APP,D:\us-tech-quant\state\v18\price_cache\APP.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ARGT,D:\us-tech-quant\state\v18\price_cache\ARGT.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
AXON,D:\us-tech-quant\state\v18\price_cache\AXON.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BABA,D:\us-tech-quant\state\v18\price_cache\BABA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BAC,D:\us-tech-quant\state\v18\price_cache\BAC.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BALL,D:\us-tech-quant\state\v18\price_cache\BALL.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BIDU,D:\us-tech-quant\state\v18\price_cache\BIDU.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BITF,D:\us-tech-quant\state\v18\price_cache\BITF.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BKNG,D:\us-tech-quant\state\v18\price_cache\BKNG.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BLTE,D:\us-tech-quant\state\v18\price_cache\BLTE.csv,TRUE,1018,2026-05-20,1018,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BN,D:\us-tech-quant\state\v18\price_cache\BN.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BSX,D:\us-tech-quant\state\v18\price_cache\BSX.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CART,D:\us-tech-quant\state\v18\price_cache\CART.csv,TRUE,670,2026-05-20,670,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CDNS,D:\us-tech-quant\state\v18\price_cache\CDNS.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CHPT,D:\us-tech-quant\state\v18\price_cache\CHPT.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CHRW,D:\us-tech-quant\state\v18\price_cache\CHRW.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CLF,D:\us-tech-quant\state\v18\price_cache\CLF.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CLH,D:\us-tech-quant\state\v18\price_cache\CLH.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CLSK,D:\us-tech-quant\state\v18\price_cache\CLSK.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CMG,D:\us-tech-quant\state\v18\price_cache\CMG.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
LPLA,D:\us-tech-quant\state\v18\price_cache\LPLA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
LSCC,D:\us-tech-quant\state\v18\price_cache\LSCC.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
