ticker,source_name,source_path,evidence_type,present,notes
CSGP,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
CSGP,price_cache,state/v18/price_cache/CSGP.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
CVNA,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
CVNA,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
CVNA,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
CVNA,price_cache,state/v18/price_cache/CVNA.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DAKT,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAKT,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAKT,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAKT,price_cache,state/v18/price_cache/DAKT.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DAL,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAL,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAL,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DAL,price_cache,state/v18/price_cache/DAL.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DASH,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DASH,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DASH,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DASH,price_cache,state/v18/price_cache/DASH.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DB,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DB,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DB,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
