ticker,ledger_row_found_before_update,scan_result,ledger_update_attempted,ledger_update_success,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count,error_message
RTX,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
RVMD,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SATS,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SCCO,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SCHW,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SEI,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SFIX,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SFM,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SHOP,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SHW,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
