ticker,selected_this_run,universe_tier,data_depth,bootstrap_attempted,bootstrap_status,cache_file,cache_exists_before,cache_exists_after,cache_quality_status,selected_source_path,selected_source_quality,rows_before,rows_after,rows_added,earliest_date,latest_date,latest_close,source_notes,failed_reason,updated_at
APH,TRUE,CORE_DAILY,FULL_FACTOR_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/APH.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,125.55000305175781,,,2026-05-19T11:57:59
CEG,TRUE,CORE_DAILY,FULL_FACTOR_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CEG.csv,TRUE,TRUE,,,,1085,1085,0,,2026-05-15,268.739990234375,,,2026-05-19T11:57:59
ACM,TRUE,CORE_DAILY,FULL_FACTOR_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ACM.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,72.33999633789062,,,2026-05-19T11:57:59
CAMT,TRUE,CORE_DAILY,FULL_FACTOR_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CAMT.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,170.53500366210938,,,2026-05-19T11:57:59
ASML,TRUE,CORE_DAILY,FULL_FACTOR_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ASML.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,1517.43994140625,,,2026-05-19T11:57:59
AAPL,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AAPL.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,301.3951110839844,,,2026-05-19T11:57:59
AEHR,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AEHR.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,101.18499755859375,,,2026-05-19T11:57:59
ANET,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ANET.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,144.90499877929688,,,2026-05-19T11:57:59
AVGO,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AVGO.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,426.2049865722656,,,2026-05-19T11:57:59
AMKR,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AMKR.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,70.86000061035156,,,2026-05-19T11:57:59
AMAT,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AMAT.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,438.6600036621094,,,2026-05-19T11:57:59
AMD,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AMD.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,433.6300048828125,,,2026-05-19T11:57:59
AMZN,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/AMZN.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,262.1000061035156,,,2026-05-19T11:57:59
ARM,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ARM.csv,TRUE,TRUE,,,,670,670,0,,2026-05-15,212.02000427246094,,,2026-05-19T11:57:59
BE,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/BE.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,281.7550048828125,,,2026-05-19T11:57:59
BTDR,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/BTDR.csv,TRUE,TRUE,,,,1206,1206,0,,2026-05-15,13.09000015258789,,,2026-05-19T11:57:59
ACLS,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ACLS.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,155.0449981689453,,,2026-05-19T11:57:59
ACMR,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ACMR.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,62.65999984741211,,,2026-05-19T11:57:59
ALAB,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ALAB.csv,TRUE,TRUE,,,,541,541,0,,2026-05-15,229.5050048828125,,,2026-05-19T11:57:59
CARR,TRUE,CANDIDATE,MEDIUM_TREND_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CARR.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,64.57499694824219,,,2026-05-19T11:57:59
CRWV,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CRWV.csv,TRUE,TRUE,,,,285,285,0,,2026-05-15,109.12000274658203,,,2026-05-19T11:57:59
ENTG,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ENTG.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,133.3800048828125,,,2026-05-19T11:57:59
ETN,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ETN.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,398.5150146484375,,,2026-05-19T11:57:59
JBL,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/JBL.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,343.2699890136719,,,2026-05-19T11:57:59
VST,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/VST.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,138.9499969482422,,,2026-05-19T11:57:59
ZS,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/ZS.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,157.75,,,2026-05-19T11:57:59
CRDO,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CRDO.csv,TRUE,TRUE,,,,1079,1079,0,,2026-05-15,175.77000427246094,,,2026-05-19T11:57:59
CRM,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CRM.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,173.23500061035156,,,2026-05-19T11:57:59
CRWD,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CRWD.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,585.030029296875,,,2026-05-19T11:57:59
CSCO,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/CSCO.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,116.55999755859375,,,2026-05-19T11:57:59
D,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/D.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,62.15800094604492,,,2026-05-19T11:57:59
DDOG,TRUE,RESEARCH,LIGHT_DATA,FALSE,CACHE_ALREADY_EXISTS,state/v18/price_cache/DDOG.csv,TRUE,TRUE,,,,1420,1420,0,,2026-05-15,205.4499969482422,,,2026-05-19T11:57:59
