ticker,current_score,current_score_source,current_rank,factor_pack_score,technical_timing_score,overheat_penalty,event_risk_status,local_price_available,full_history_ready,latest_success_scan_date,data_readiness_status,held_out_status,current_tier,current_tier_reason,review_required
AA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AAL,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AAPL,5.710000,factor_pack_score,100,5.71,30.0,20.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ABR,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ACLS,73.330000,factor_pack_score,29,73.33,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_3_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
ACM,40.000000,factor_pack_score,64,40.0,68.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ACMR,65.710000,factor_pack_score,37,65.71,44.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_3_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
ADBE,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ADMA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ADSK,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
