factor,role,recommendation,config_count,total_config_count,avg_rank,median_rank,best_rank,worst_rank,rank_std,top1_count,top1_rate,top3_count,top3_rate,avg_sharpe,median_sharpe,min_sharpe,avg_cagr,median_cagr,avg_excess_cagr_vs_qqq,avg_max_drawdown,worst_max_drawdown,avg_turnover,negative_excess_count,maxdd_over_50_count
F007_PULLBACK_IN_UPTREND,CORE_PULLBACK_UPTREND_CANDIDATE,WATCH,96,96,1.8645833333333333,1.0,1,6,1.2043306549236756,52,0.5416666666666666,88,0.9166666666666666,2.0149128060146873,1.949825752369363,1.4047816283859758,1.3951124141435578,1.3247468992954101,1.083220589017291,-0.4191012953739264,-0.5831583807086903,0.36797684210346704,0,12
F009_VOLUME_PRICE_CONFIRM,VOLUME_PRICE_CONFIRMATION,STRONG_WATCH,96,96,2.84375,3.0,1,6,1.4671977613237193,24,0.25,58,0.6041666666666666,1.887427606536612,1.8940213018320842,1.1829655133586543,1.1844437792392093,1.0964082948520062,0.8725519541129425,-0.4225229086836217,-0.539996266245066,0.5923183858748645,0,6
F010_XSEC_COMPOSITE_RANK,COMPOSITE_RANK_STABILIZER,WATCH,96,96,3.4791666666666665,3.0,2,6,1.3148127771241382,0,0.0,52,0.5416666666666666,1.831063451779591,1.8168443095039992,0.9514619282134517,1.0739227544860828,1.008469168876793,0.762030929359816,-0.4286871285865789,-0.6562881659458778,0.620421284234533,0,12
F011_TS_MOMENTUM_60_120,TREND_CONFIRMATION_ONLY,SECONDARY_EVIDENCE,96,96,3.84375,4.0,1,6,1.301666599978658,5,0.052083333333333336,39,0.40625,1.7901406914268303,1.740749776794218,1.3849715895013879,1.143998709162114,1.098583081832803,0.8321068840358471,-0.4404655125953753,-0.5152784751385067,0.22202550324577186,0,10
F008_VOLUME_ABNORMAL_5_20,VOLUME_ABNORMALITY_SECONDARY,SECONDARY_EVIDENCE,96,96,4.229166666666667,4.5,1,6,1.6232629604869597,9,0.09375,30,0.3125,1.679887281490479,1.7042933545040642,0.6797063599174005,0.8020364413396099,0.7990502913957571,0.4901446162133431,-0.381749047680459,-0.47849660113010195,0.8646825751035019,3,0
F006_SHORT_REV_5D,SHORT_REVERSAL_CONFIRMATION,SECONDARY_EVIDENCE,96,96,4.739583333333333,5.0,1,6,1.595859170809115,6,0.0625,21,0.21875,1.5447572417177484,1.5462091358952186,1.0312758688766326,0.8193321854956102,0.788999132862058,0.5074403603693434,-0.40200182205803614,-0.5630957417308314,0.7961908983862406,0,3
