factor,strategy_type,lookback_days,start_date,end_date,top_n,hold_days,cost_bps,universe_source,raw_universe_count,available_ticker_count,missing_ticker_count,daily_count,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,hit_rate,bench_cagr,excess_cagr_vs_bench,corr_vs_bench,avg_turnover,rebalance_count,avg_holding_names,config_rank
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,14.539186517626941,2.7887588874402396,0.5883972302509635,2.566345672508751,-0.4680739502741924,0.5722543352601156,0.3147880980783788,2.4739707893618608,0.6086974698473948,0.5174698795180723,166,5.0,1
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,12.481695384940863,2.536278555048335,0.6150806111328987,2.3661793897451076,-0.4137887766743382,0.5028901734104047,0.3147880980783788,2.2214904569699563,0.6080733670889411,0.27823129251700673,147,5.0,2
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.7320827600551905,1.6996756686050283,0.5824855567695666,2.002253963464125,-0.5094372702207779,0.4605009633911368,0.3147880980783788,1.3848875705266495,0.5606514322145459,0.14360902255639096,133,5.0,3
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.334464563431497,1.450583765710392,0.5278735244406785,1.9708154176778312,-0.5172504462882617,0.4720616570327553,0.3147880980783788,1.1357956676320131,0.5782949072032,0.7030075187969925,133,5.0,4
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.082060937385153,1.5869872330265395,0.6040335191288643,1.8744085719421213,-0.38196713596784493,0.5549132947976878,0.3147880980783788,1.2721991349481607,0.7719899081945082,0.7690058479532164,171,5.0,5
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.1527481822515595,0.9963299066335354,0.47039222813248377,1.7035718352720282,-0.2732764031255088,0.5260115606936416,0.3147880980783788,0.6815418085551566,0.7023630345151498,0.9123529411764706,170,5.0,6
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,12.658366254625289,2.5587041166317137,0.5889290996755127,2.4577961601623555,-0.4785406068924497,0.5664739884393064,0.3147880980783788,2.243916018553335,0.6090048808376162,0.5174698795180723,166,5.0,1
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,11.67980844902375,2.4325384563048633,0.6152791815717807,2.3170012386024736,-0.41825808322796565,0.49903660886319845,0.3147880980783788,2.1177503582264845,0.6081851338112313,0.27823129251700673,147,5.0,2
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.516872693639655,1.6629260152497198,0.5822131083708196,1.979297641147492,-0.5116353647727717,0.4605009633911368,0.3147880980783788,1.348137917171341,0.5605309654244172,0.14360902255639096,133,5.0,3
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.515164430239084,1.2912003647523114,0.5266122738531472,1.8462217136374486,-0.5280760103846436,0.4701348747591522,0.3147880980783788,0.9764122666739325,0.5780983745099278,0.7030075187969925,133,5.0,4
