factor,strategy_type,start_date,end_date,hold_days,top_n,bottom_n,cost_bps,available_ticker_count,missing_ticker_count,daily_count,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,hit_rate,bench_cagr,excess_cagr_vs_bench,corr_vs_bench,avg_turnover,rebalance_count,avg_holding_names
F006_SHORT_REV_5D,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,5.681891609354839,0.7401859826012669,0.43468629227814115,1.4908592461368806,-0.4264007818342568,0.5289351851851852,0.3090618435751309,0.431124139026136,0.7667168968604103,0.8720930232558142,172,10.0
F006_SHORT_REV_5D,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,-0.7185840811359576,-0.3091347328570011,0.37506540858224846,-0.797598571613253,-0.7281017811154347,0.4675925925925926,0.3090618435751309,-0.618196576432132,0.05772274135817797,1.7168604651162795,172,20.0
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,11.185445081445636,1.0734985724768666,0.4675750192807012,1.796755186891784,-0.4274623828291044,0.5358796296296297,0.3090618435751309,0.7644367289017358,0.6898732470368354,0.31656050955414017,157,10.0
F007_PULLBACK_IN_UPTREND,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,0.15487962256626964,0.04289329722111446,0.39247691564148285,0.30387273115339125,-0.595301639653126,0.4699074074074074,0.3090618435751309,-0.26616854635401643,0.1556664274494994,0.8426751592356688,157,20.0
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,3.770330371072566,0.5772842501152735,0.392082751529591,1.3580383147575674,-0.47849657512420685,0.5416666666666666,0.3090618435751309,0.2682224065401426,0.772963366254114,0.8818713450292398,171,10.0
F008_VOLUME_ABNORMAL_5_20,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,-0.49221774854880296,-0.17935383857789133,0.2761764188597227,-0.5770772099172333,-0.590535817048554,0.4849537037037037,0.3090618435751309,-0.4884156821530222,0.10216801834149238,1.6397660818713455,171,20.0
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,5.316773091143203,0.7118976234049117,0.4514683835746263,1.4206909743842207,-0.4381176756842491,0.5532407407407407,0.3090618435751309,0.4028357798297808,0.7106829252904469,0.534319526627219,169,10.0
F009_VOLUME_PRICE_CONFIRM,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,-0.4770194799977874,-0.17226445013012226,0.39979646163051197,-0.2719475329006706,-0.7376213956671442,0.4756944444444444,0.3090618435751309,-0.48132629370525315,0.033802166266584256,1.0727810650887575,169,20.0
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,7.289953656224284,0.8531519457736019,0.4834800191827646,1.5225672730335693,-0.44411533377629264,0.5069444444444444,0.3090618435751309,0.544090102198471,0.6529314157334092,0.1953020134228188,149,10.0
F011_TS_MOMENTUM_60_120,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,0.8860870472014992,0.2032951659398392,0.434053828858992,0.6450151566573453,-0.511912921488944,0.46296296296296297,0.3090618435751309,-0.10576667763529168,0.1475180898937451,0.41073825503355704,149,20.0
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,6.393894478698024,0.792343990624971,0.4323317990881992,1.569506781393408,-0.43858650770447505,0.48032407407407407,0.3090618435751309,0.48328214704984007,0.687772179967979,0.6288590604026847,149,10.0
F010_XSEC_COMPOSITE_RANK,LONG_SHORT_SPREAD,2022-12-02,2026-05-15,5,10,10,50.0,105,0,864,0.5635017399560751,0.13923160351765373,0.3598391395254364,0.5425091900132323,-0.47783347247408803,0.44907407407407407,0.3090618435751309,-0.16983024005747716,0.1912685204355469,1.2570469798657722,149,20.0
