snapshot_date,ticker,base_date,base_date_source,official_decision_impact,auto_weight_change,auto_promotion,auto_trade,yf_history_status,calendar_status,calendar_method,days_to_month_end,month_end_window_status,month_end_rebalance_factor,days_to_quarter_end,quarter_end_window_status,quarter_end_rebalance_factor,opex_date,options_expiry_pressure_status,options_expiry_pressure_method,options_expiry_pressure_factor,opex_relief_status,opex_relief_method,opex_relief_factor,realized_volatility_status,realized_volatility_factor,realized_volatility_10d,realized_volatility_20d,vwap_proxy_status,vwap_method,vwap_proxy_value,vwap_position_factor,vwap_deviation_factor,vwap_reclaim_support_factor
2026-05-16,D,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.214475,0.180627,0.214475,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,62.602409,0.000000,-0.013936,0.000000
2026-05-16,ENTG,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.598547,0.642679,0.598547,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,146.464391,0.000000,-0.091451,0.000000
2026-05-16,ETR,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.274240,0.265859,0.274240,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,113.157093,0.000000,-0.036472,0.000000
2026-05-16,FLR,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.695077,0.852140,0.695077,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,47.989719,0.000000,-0.075635,0.000000
2026-05-16,AMKR,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.628585,0.711656,0.628585,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,72.709960,0.000000,-0.032457,0.000000
2026-05-16,CRDO,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.934447,0.956531,0.934447,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,185.337159,0.000000,-0.071044,0.000000
2026-05-16,CRWV,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.902017,0.994435,0.902017,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,117.059204,0.000000,-0.083370,0.000000
2026-05-16,ETN,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.414899,0.479462,0.414899,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,412.940000,0.000000,-0.032692,0.000000
2026-05-16,AEHR,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.981241,1.083925,0.981241,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,93.195227,1.000000,0.067651,0.000000
2026-05-16,JBL,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.530821,0.732552,0.530821,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,345.892766,0.000000,-0.017557,0.000000
