factor_name,horizon,n_pairs,status,recommendation,current_weight,factor_direction,label_column,captured_columns_used,factor_method,top_fraction,top_count,bottom_count,all_mean_return,all_median_return,all_win_rate,top_mean_return,top_median_return,top_win_rate,bottom_mean_return,bottom_median_return,bottom_win_rate,top_minus_bottom_mean,pearson_corr,spearman_corr
trend_score,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.25,,fwd_1d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
trend_score,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.25,,fwd_5d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
trend_score,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.25,,fwd_10d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
trend_score,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.25,,fwd_20d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
relative_strength_score,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_1d_return,relative_strength_score | relative_strength_benchmark | relative_strength_benchmark_return_120d | relative_strength_benchmark_return_20d | relative_strength_benchmark_return_60d | relative_strength_method | relative_strength_raw | relative_strength_return_120d | relative_strength_return_20d | relative_strength_return_60d | relative_strength_status,DIRECT_COLUMN:relative_strength_score,,,,,,,,,,,,,,,
relative_strength_score,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_5d_return,relative_strength_score | relative_strength_benchmark | relative_strength_benchmark_return_120d | relative_strength_benchmark_return_20d | relative_strength_benchmark_return_60d | relative_strength_method | relative_strength_raw | relative_strength_return_120d | relative_strength_return_20d | relative_strength_return_60d | relative_strength_status,DIRECT_COLUMN:relative_strength_score,,,,,,,,,,,,,,,
relative_strength_score,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_10d_return,relative_strength_score | relative_strength_benchmark | relative_strength_benchmark_return_120d | relative_strength_benchmark_return_20d | relative_strength_benchmark_return_60d | relative_strength_method | relative_strength_raw | relative_strength_return_120d | relative_strength_return_20d | relative_strength_return_60d | relative_strength_status,DIRECT_COLUMN:relative_strength_score,,,,,,,,,,,,,,,
relative_strength_score,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_20d_return,relative_strength_score | relative_strength_benchmark | relative_strength_benchmark_return_120d | relative_strength_benchmark_return_20d | relative_strength_benchmark_return_60d | relative_strength_method | relative_strength_raw | relative_strength_return_120d | relative_strength_return_20d | relative_strength_return_60d | relative_strength_status,DIRECT_COLUMN:relative_strength_score,,,,,,,,,,,,,,,
pullback_quality_score,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_1d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
pullback_quality_score,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_5d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
