factor_name,direction,current_weight,min_weight,max_weight,captured_columns_used,factor_method,factor_nonnull_count,factor_score_nonnull_count,coverage_status,note
trend_score,higher_is_better,0.25,0.15,0.35,,NO_CAPTURED_COLUMN,0,0,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
relative_strength_score,higher_is_better,0.2,0.1,0.3,relative_strength_score | relative_strength_benchmark | relative_strength_benchmark_return_120d | relative_strength_benchmark_return_20d | relative_strength_benchmark_return_60d | relative_strength_method | relative_strength_raw | relative_strength_return_120d | relative_strength_return_20d | relative_strength_return_60d | relative_strength_status,DIRECT_COLUMN:relative_strength_score,93,93,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
pullback_quality_score,higher_is_better,0.2,0.1,0.3,,NO_CAPTURED_COLUMN,0,0,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
momentum_continuation_score,higher_is_better,0.15,0.05,0.25,,NO_CAPTURED_COLUMN,0,0,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
overheat_penalty,lower_is_better,0.1,0.05,0.2,,NO_CAPTURED_COLUMN,0,0,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
volatility_penalty,lower_is_better,0.05,0.0,0.15,,NO_CAPTURED_COLUMN,0,0,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
execution_fit,higher_is_better,0.05,0.0,0.1,execution_fit | execution_fit_score | execution_fit_status,DIRECT_COLUMN:execution_fit,93,93,OFFICIAL_CANDIDATE_CAPTURED,favorable_score = cross_sectional_percentile(raw); inverted for lower_is_better
