section,rank,ticker,base_date,snapshot_date,metric_name,metric_value,status,note,mode,official_decision_impact,auto_weight_change,auto_promotion,auto_trade
status,,,,,MODE,SHADOW_ONLY,OK,SHADOW_ONLY summary; no official trading impact.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
status,,,,,OFFICIAL_DECISION_IMPACT,NONE,OK,Official decisions unchanged.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
status,,,,,OFFICIAL_TRADING_IMPACT,NONE,OK,No buy/sell logic or factor weights changed.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
counts,,,,,raw_candidate_row_count,93,OK,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
counts,,,,,unique_ticker_count,31,OK,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
counts,,,,,unique_ticker_base_date_count,31,OK,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
duplicate_warning,,,,,duplicate_ticker_base_date_count,62,DUPLICATES_FOUND,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
calendar_opex,,,,,opex_pressure_active_raw_row_count,93,CALENDAR_PROXY_ONLY,No options chain / OI / IV used.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
calendar_opex,,,,,opex_pressure_active_unique_ticker_base_date_count,31,CALENDAR_PROXY_ONLY,No options chain / OI / IV used.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
calendar_opex,,,,,month_end_active_count,0,CALENDAR_AVAILABLE,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
calendar_opex,,,,,quarter_end_active_count,0,CALENDAR_AVAILABLE,,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
calendar_opex,,,,,post_opex_relief_active_count,0,CALENDAR_PROXY_ONLY,No options chain / OI / IV used.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,1,FLEX,2026-05-15,2026-05-16,realized_volatility_factor,1.450080,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,2,DDOG,2026-05-15,2026-05-16,realized_volatility_factor,1.142391,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,3,AEHR,2026-05-15,2026-05-16,realized_volatility_factor,0.981241,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,4,CRDO,2026-05-15,2026-05-16,realized_volatility_factor,0.934447,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,5,CRWV,2026-05-15,2026-05-16,realized_volatility_factor,0.902017,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,6,CAMT,2026-05-15,2026-05-16,realized_volatility_factor,0.855501,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,7,FLR,2026-05-15,2026-05-16,realized_volatility_factor,0.695077,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,8,ANET,2026-05-15,2026-05-16,realized_volatility_factor,0.672539,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
top_10_realized_volatility,9,AMKR,2026-05-15,2026-05-16,realized_volatility_factor,0.628585,COMPUTABLE_NOW,Daily close realized volatility.,SHADOW_ONLY,NONE,DISABLED,DISABLED,DISABLED
