horizon,label_column,source_rows,label_nonblank_count,label_blank_count,trading_day_mature_count,trading_day_not_mature_count,mature_but_label_blank_count,not_yet_mature_blank_count,missing_date_count,base_date_source,maturity_method,yfinance_status,min_count_required,ready_for_factor_backtest,maturity_status
1D,fwd_1d_return,93,0,93,0,93,0,93,0,source_row_text.price_date_preferred_snapshot_date_fallback,YFINANCE_TRADING_DAY_CONSERVATIVE,YFINANCE_OK,20,NO,WAIT_FOR_FORWARD_HORIZON_TO_MATURE
5D,fwd_5d_return,93,0,93,0,93,0,93,0,source_row_text.price_date_preferred_snapshot_date_fallback,YFINANCE_TRADING_DAY_CONSERVATIVE,YFINANCE_OK,20,NO,WAIT_FOR_FORWARD_HORIZON_TO_MATURE
10D,fwd_10d_return,93,0,93,0,93,0,93,0,source_row_text.price_date_preferred_snapshot_date_fallback,YFINANCE_TRADING_DAY_CONSERVATIVE,YFINANCE_OK,20,NO,WAIT_FOR_FORWARD_HORIZON_TO_MATURE
20D,fwd_20d_return,93,0,93,0,93,0,93,0,source_row_text.price_date_preferred_snapshot_date_fallback,YFINANCE_TRADING_DAY_CONSERVATIVE,YFINANCE_OK,20,NO,WAIT_FOR_FORWARD_HORIZON_TO_MATURE
