ticker,row_count,min_date,max_date,latest_close,latest_volume,recommended_next_action
LINE,459,2024-07-25,2026-05-22,40.2400016784668,128015,CONTINUE_NEAR_MATURE_WATCH_RECHECK_LATER
PONY,371,2024-11-27,2026-05-22,8.789999961853027,3153944,CONTINUE_NEAR_MATURE_WATCH_RECHECK_LATER
