metric,value,expected,status,notes
R27A_STATUS,OK_V18_25A_R27A_PARTIAL_HISTORY_MATURITY_RECHECK_READY,OK_V18_25A_R27A_PARTIAL_HISTORY_MATURITY_RECHECK_READY,OK,
TOTAL_LEDGER_ROWS,323,323,OK,
ARTIFACT_TICKERS_PRESENT_COUNT,0,0,OK,
CURRENT_NEVER_SUCCESS_COUNT,22,22,OK,
MATURE_PARTIAL_REVIEW_INPUT_COUNT,2,2,OK,
MATURE_PARTIAL_POLICY_REVIEW_PASS_COUNT,2,2,OK,
R27C_DRYRUN_CANDIDATE_COUNT,2,2,OK,
NEAR_MATURE_WATCH_COUNT,2,2,OK,
CONTINUE_PARTIAL_HOLD_COUNT,13,13,OK,
EMPTY_FETCH_SYMBOL_PROVIDER_AUDIT_COUNT,5,5,OK,
