ticker,row_count,min_date,max_date,latest_close,latest_volume,recommended_next_action
BLSH,196,2025-08-13,2026-05-22,36.18009948730469,394843,CONTINUE_PARTIAL_HISTORY_HOLD
CAI,234,2025-06-18,2026-05-22,15.734999656677246,276861,CONTINUE_PARTIAL_HISTORY_HOLD
CHYM,238,2025-06-12,2026-05-22,17.979999542236328,589105,CONTINUE_PARTIAL_HISTORY_HOLD
CRCL,243,2025-06-05,2026-05-22,114.36849975585938,4412700,CONTINUE_PARTIAL_HISTORY_HOLD
FIGR,176,2025-09-11,2026-05-22,33.86000061035156,898697,CONTINUE_PARTIAL_HISTORY_HOLD
GEMI,175,2025-09-12,2026-05-22,5.380300045013428,545244,CONTINUE_PARTIAL_HISTORY_HOLD
JBS,237,2025-06-13,2026-05-22,13.149999618530273,2201214,CONTINUE_PARTIAL_HISTORY_HOLD
KLAR,176,2025-09-11,2026-05-22,16.247900009155273,1909270,CONTINUE_PARTIAL_HISTORY_HOLD
MNTN,252,2025-05-22,2026-05-22,8.319999694824219,114427,CONTINUE_PARTIAL_HISTORY_HOLD
SOLS,149,2025-10-20,2026-05-22,81.54000091552734,342113,CONTINUE_PARTIAL_HISTORY_HOLD
STUB,172,2025-09-17,2026-05-22,10.109999656677246,1598186,CONTINUE_PARTIAL_HISTORY_HOLD
WOLF,164,2025-09-29,2026-05-22,77.43499755859375,5108540,CONTINUE_PARTIAL_HISTORY_HOLD
WYFI,200,2025-08-07,2026-05-22,30.674999237060547,824748,CONTINUE_PARTIAL_HISTORY_HOLD
