metric,value,expected,status,notes
R27B_STATUS,OK_V18_25A_R27B_MATURE_PARTIAL_POLICY_REVIEW_READY,OK_V18_25A_R27B_MATURE_PARTIAL_POLICY_REVIEW_READY,OK,
DRYRUN_CANDIDATE_COUNT,2,2,OK,
EXPECTED_TICKER_MATCH,TRUE,TRUE,OK,
DRYRUN_PASS_COUNT,2,2,OK,
DRYRUN_BLOCKED_COUNT,0,0,OK,
PRICE_CACHE_DRYRUN_CREATE_COUNT,2,2,OK,
PRICE_CACHE_DRYRUN_UPDATE_COUNT,0,0,OK,
ROLLING_LEDGER_DRYRUN_UPDATE_COUNT,2,2,OK,
R27D_APPLY_RECOMMENDED,TRUE,TRUE,OK,
