ticker,row_count,min_date,max_date,latest_close,latest_volume,data_quality_pass,maturity_bucket,policy_review_status,recommended_next_action
RDDT,545,2024-03-21,2026-05-22,141.48739624023438,3067017,TRUE,MATURE_PARTIAL,PARTIAL_MATURE_POLICY_REVIEW_PASS,R27C_CONTROLLED_PARTIAL_MATURE_INTEGRATION_DRYRUN_RECOMMENDED
TLN,746,2023-06-02,2026-05-22,366.2513122558594,162644,TRUE,MATURE_PARTIAL,PARTIAL_MATURE_POLICY_REVIEW_PASS,R27C_CONTROLLED_PARTIAL_MATURE_INTEGRATION_DRYRUN_RECOMMENDED
