ticker,last_known_quality_status,recommended_symbol_audit_status,recommended_next_action
CDTX,HELD_OUT_EMPTY_FETCH,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY
CFLT,HELD_OUT_EMPTY_FETCH,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY
COG,HELD_OUT_EMPTY_FETCH,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY
JFROG,HELD_OUT_EMPTY_FETCH,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY
MPW,HELD_OUT_EMPTY_FETCH,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY,SYMBOL_PROVIDER_AUDIT_REQUIRED_BEFORE_RETRY
