metric,value,expected,status,notes
TOTAL_LEDGER_ROWS_AFTER,323,323,OK,
COVERED_WITHIN_5D_AFTER,303,303,OK,
NEVER_SUCCESS_COUNT_AFTER,20,20,OK,
STALE_COUNT_AFTER,0,0,OK,
REMAINING_COUNT_AFTER,20,20,OK,
ARTIFACT_TICKERS_PRESENT_COUNT_AFTER,0,0,OK,
DUPLICATE_LEDGER_TICKER_COUNT_AFTER,0,0,OK,
