ticker,has_price_derived_row,factor_scope_class,score_scope,full_factor_score_ready,light_factor_score_ready,score_ready,price_derived_total_score_available,buy_zone_label_available,market_regime_available,price_derived_readiness_status,degradation_reason
AA,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
AAL,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
AAPL,TRUE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,TRUE,TRUE,TRUE,FULL_SCORE_READY,
ABR,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
ACLS,TRUE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,TRUE,TRUE,TRUE,FULL_SCORE_READY,
ACM,TRUE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,TRUE,TRUE,TRUE,FULL_SCORE_READY,
ACMR,TRUE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,TRUE,TRUE,TRUE,FULL_SCORE_READY,
ADBE,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
ADMA,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
ADSK,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
AEHR,TRUE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,TRUE,TRUE,TRUE,FULL_SCORE_READY,
AEIS,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
AEVA,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
AFRM,TRUE,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,FALSE,FALSE,TRUE,ROW_ONLY_NOT_SCORE_READY,Price-derived row exists but full/light score fields are not ready.
