date,close,open,high,low,volume,adj_close
2025-03-28,40.0,39.0,41.939998626708984,37.459999084472656,41091100,40.0
2025-03-31,37.08000183105469,38.4900016784668,38.4900016784668,36.0,15194800,37.08000183105469
2025-04-01,52.56999969482422,38.5,53.27000045776367,37.20000076293945,38327800,52.56999969482422
2025-04-02,61.36000061035156,55.90999984741211,64.62000274658203,51.400001525878906,52666800,61.36000061035156
2025-04-03,53.79999923706055,55.38999938964844,57.645999908447266,48.2599983215332,27120600,53.79999923706055
2025-04-04,47.81999969482422,49.599998474121094,51.0,43.5099983215332,14469600,47.81999969482422
2025-04-07,49.849998474121094,43.8849983215332,52.0,42.15999984741211,11414700,49.849998474121094
2025-04-08,43.61000061035156,54.14500045776367,54.79999923706055,42.36000061035156,13657200,43.61000061035156
2025-04-09,48.77000045776367,43.724998474121094,49.880001068115234,39.12099838256836,17229700,48.77000045776367
2025-04-10,42.20000076293945,46.900001525878906,47.0,41.84400177001953,9404300,42.20000076293945
2025-04-11,43.75,42.5,44.880001068115234,41.02000045776367,5579500,43.75
2025-04-14,43.61000061035156,46.79499816894531,46.849998474121094,42.400001525878906,4827000,43.61000061035156
2025-04-15,40.779998779296875,43.560001373291016,44.7400016784668,40.0,6841300,40.779998779296875
2025-04-16,40.72999954223633,40.165000915527344,40.84000015258789,38.263999938964844,7206800,40.72999954223633
2025-04-17,39.09000015258789,41.04999923706055,41.630001068115234,38.349998474121094,4844600,39.09000015258789
2025-04-21,35.415000915527344,38.619998931884766,38.638999938964844,33.51499938964844,8116200,35.415000915527344
2025-04-22,38.5099983215332,36.97999954223633,39.61000061035156,36.0,9589300,38.5099983215332
2025-04-23,41.619998931884766,42.07500076293945,43.948001861572266,40.15999984741211,7651500,41.619998931884766
2025-04-24,41.77000045776367,42.54999923706055,43.5,38.79999923706055,9376700,41.77000045776367
2025-04-25,41.540000915527344,41.95000076293945,44.36000061035156,40.900001525878906,8765600,41.540000915527344
2025-04-28,42.02000045776367,42.0099983215332,43.33000183105469,39.779998779296875,5194600,42.02000045776367
2025-04-29,42.81999969482422,42.20500183105469,46.45000076293945,41.0099983215332,10493600,42.81999969482422
2025-04-30,41.29999923706055,41.0,41.5099983215332,39.5,6100200,41.29999923706055
2025-05-01,44.31999969482422,47.025001525878906,48.349998474121094,44.029998779296875,13001600,44.31999969482422
2025-05-02,51.56999969482422,46.93899917602539,51.81999969482422,45.79999923706055,9199600,51.56999969482422
2025-05-05,51.0099983215332,50.42900085449219,52.779998779296875,49.70000076293945,6432300,51.0099983215332
2025-05-06,54.29499816894531,49.36000061035156,54.832000732421875,49.06100082397461,9644400,54.29499816894531
2025-05-07,53.599998474121094,54.90999984741211,54.90999984741211,51.400001525878906,5940300,53.599998474121094
2025-05-08,55.0,54.709999084472656,55.70000076293945,52.77000045776367,6264000,55.0
2025-05-09,51.369998931884766,55.959999084472656,56.81999969482422,50.18000030517578,7948900,51.369998931884766
2025-05-12,58.4900016784668,54.29999923706055,59.439998626708984,52.900001525878906,10619000,58.4900016784668
2025-05-13,63.2599983215332,57.599998474121094,64.87000274658203,57.31999969482422,10125900,63.2599983215332
2025-05-14,67.45999908447266,66.0,68.5,64.0,25124600,67.45999908447266
2025-05-15,65.7699966430664,68.87000274658203,72.97000122070312,61.33000183105469,36202100,65.7699966430664
2025-05-16,80.30000305175781,68.07499694824219,84.0,67.55000305175781,42984000,80.30000305175781
2025-05-19,86.58999633789062,76.9000015258789,88.9000015258789,76.08000183105469,33360500,86.58999633789062
2025-05-20,90.23999786376953,89.66999816894531,96.3499984741211,83.30500030517578,34969200,90.23999786376953
2025-05-21,107.38999938964844,89.45999908447266,109.48999786376953,89.30000305175781,61681600,107.38999938964844
2025-05-22,100.16000366210938,112.13999938964844,116.53900146484375,99.51000213623047,61046900,100.16000366210938
2025-05-23,102.73999786376953,98.0,106.79000091552734,97.0999984741211,31097600,102.73999786376953
2025-05-27,123.97000122070312,109.26799774169922,125.0199966430664,107.9749984741211,38032000,123.97000122070312
2025-05-28,116.1500015258789,123.75,123.75,113.0,27833900,116.1500015258789
2025-05-29,105.55000305175781,123.5,130.75999450683594,105.52999877929688,38491000,105.55000305175781
2025-05-30,111.30999755859375,109.0,111.94999694824219,104.9000015258789,23532800,111.30999755859375
2025-06-02,120.19999694824219,116.29499816894531,123.66000366210938,114.0,26269100,120.19999694824219
2025-06-03,150.47999572753906,125.30000305175781,150.8800048828125,124.69999694824219,53920700,150.47999572753906
2025-06-04,163.10000610351562,155.875,166.6300048828125,144.3000030517578,55448700,163.10000610351562
2025-06-05,135.0500030517578,156.0,157.4600067138672,132.8000030517578,50579600,135.0500030517578
2025-06-06,140.16000366210938,144.92999267578125,148.7899932861328,138.58999633789062,23229900,140.16000366210938
2025-06-09,162.10000610351562,147.8000030517578,163.2899932861328,144.13699340820312,29451700,162.10000610351562
2025-06-10,154.89999389648438,156.5,158.3000030517578,149.0,24264300,154.89999389648438
2025-06-11,149.6999969482422,160.00999450683594,166.02999877929688,145.5,25772800,149.6999969482422
2025-06-12,148.97000122070312,153.6999969482422,154.8000030517578,142.5,15249000,148.97000122070312
2025-06-13,147.19000244140625,143.24000549316406,154.5,142.5,16515200,147.19000244140625
2025-06-16,158.5,148.60000610351562,158.5,143.47999572753906,19757100,158.5
2025-06-17,171.92999267578125,156.97999572753906,175.3800048828125,155.8000030517578,32381800,171.92999267578125
2025-06-18,170.0,173.3300018310547,176.75,165.5500030517578,19866400,170.0
2025-06-20,183.5800018310547,171.82000732421875,187.0,168.85000610351562,31258700,183.5800018310547
2025-06-23,173.67999267578125,183.32000732421875,183.52999877929688,159.0,26820700,173.67999267578125
2025-06-24,172.6199951171875,176.3699951171875,183.97999572753906,171.22999572753906,18343600,172.6199951171875
2025-06-25,159.5,178.02000427246094,180.25,157.89999389648438,17830200,159.5
2025-06-26,158.0800018310547,164.14999389648438,165.99000549316406,152.88900756835938,17009600,158.0800018310547
2025-06-27,159.99000549316406,160.1300048828125,167.8800048828125,158.1999969482422,17437600,159.99000549316406
2025-06-30,163.05999755859375,163.30999755859375,173.3489990234375,160.4600067138672,13731800,163.05999755859375
2025-07-01,155.94000244140625,162.77999877929688,162.77999877929688,154.89999389648438,10913500,155.94000244140625
2025-07-02,151.77000427246094,152.80999755859375,158.72000122070312,151.25999450683594,8458200,151.77000427246094
2025-07-03,165.1999969482422,155.0,166.22000122070312,153.5500030517578,10442400,165.1999969482422
2025-07-07,159.6999969482422,161.17999267578125,163.66000366210938,155.25999450683594,12665700,159.6999969482422
2025-07-08,151.4499969482422,159.34500122070312,160.4199981689453,148.75,12024600,151.4499969482422
2025-07-09,153.0500030517578,155.1999969482422,156.47000122070312,149.6999969482422,9572200,153.0500030517578
2025-07-10,138.2899932861328,152.8000030517578,153.5,136.00999450683594,16519500,138.2899932861328
2025-07-11,125.83999633789062,132.9250030517578,136.36000061035156,125.66999816894531,15721900,125.83999633789062
2025-07-14,132.375,130.3800048828125,135.6699981689453,129.99000549316406,11432900,132.375
2025-07-15,140.58999633789062,144.24000549316406,146.75,140.0500030517578,17316200,140.58999633789062
2025-07-16,143.0399932861328,143.14999389648438,146.99000549316406,139.02000427246094,10835400,143.0399932861328
2025-07-17,132.2100067138672,141.3699951171875,141.3699951171875,131.33999633789062,12204700,132.2100067138672
2025-07-18,123.0199966430664,132.52000427246094,132.52000427246094,122.19000244140625,12863600,123.0199966430664
2025-07-21,124.91000366210938,126.52999877929688,134.3000030517578,124.11000061035156,11231200,124.91000366210938
2025-07-22,129.77000427246094,125.92500305175781,132.39999389648438,122.69999694824219,9407300,129.77000427246094
2025-07-23,126.05000305175781,132.0,132.1199951171875,125.38300323486328,6691200,126.05000305175781
2025-07-24,120.0,125.75,126.31999969482422,120.0,7629900,120.0
2025-07-25,115.62000274658203,119.93000030517578,119.93000030517578,114.2300033569336,10297500,115.62000274658203
2025-07-28,110.27999877929688,115.0,116.80000305175781,109.5999984741211,9628100,110.27999877929688
2025-07-29,108.73999786376953,108.83999633789062,113.44000244140625,106.30000305175781,10513300,108.73999786376953
