run_id,signal_date,ticker,frozen_rank,frozen_score,rank_bucket,score_bucket,entry_date,entry_close,forward_1d_date,forward_1d_close,forward_1d_return,forward_3d_date,forward_3d_close,forward_3d_return,forward_5d_date,forward_5d_close,forward_5d_return,forward_10d_date,forward_10d_close,forward_10d_return,forward_20d_date,forward_20d_close,forward_20d_return,fillability_status,data_warning
V18_25A_R21_20260522_140438,2026-05-22,APH,1,29.788571,TOP_10,score_quantile_1_highest,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,ACM,2,26.558730,TOP_10,score_quantile_1_highest,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,CAMT,3,23.385270,TOP_10,score_quantile_1_highest,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,ASML,4,23.381905,TOP_10,score_quantile_1_highest,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,CEG,5,20.464444,TOP_10,score_quantile_2,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,AMAT,6,17.866286,TOP_10,score_quantile_2,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,AMKR,7,13.462921,TOP_10,score_quantile_2,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,ANET,8,9.155175,TOP_10,score_quantile_2,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,AMZN,9,6.746984,TOP_10,score_quantile_3,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
V18_25A_R21_20260522_140438,2026-05-22,CARR,10,6.112825,TOP_10,score_quantile_3,,,,,,,,,,,,,,,,,,UNFILLED,NO_ENTRY_PRICE_ON_OR_AFTER_SIGNAL_DATE;NO_FORWARD_RETURN_FILLABLE
