"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"41","CSCO","FALSE","43.308",,,"2026-05-26","2026-05-29","120.42","2026-05-28","118.64","1.5","LATEST_PRICE_OK"
"42","MSFT","FALSE","43.24",,,"2026-05-26","2026-05-29","450.24","2026-05-28","426.99","5.45","LATEST_PRICE_OK"
"43","BE","FALSE","42.808",,,"2026-05-26","2026-05-29","285","2026-05-28","290.01","-1.73","LATEST_PRICE_OK"
"44","ANET","FALSE","42.428",,,"2026-05-26","2026-05-29","159.47","2026-05-28","155.27","2.7","LATEST_PRICE_OK"
"45","TWLO","FALSE","41.763811",,,"2026-05-21","2026-05-29","190.64","2026-05-28","184.6","3.27","LATEST_PRICE_OK"
"46","MTSI","FALSE","41.672872",,,"2026-05-20","2026-05-29","364.64","2026-05-28","391.09","-6.76","LATEST_PRICE_OK"
"47","MOH","FALSE","41.449645",,,"2026-05-20","2026-05-29","173.6","2026-05-28","178.02","-2.48","LATEST_PRICE_OK"
"48","HTZ","FALSE","40.914843",,,"2026-05-21","2026-05-29","5.4","2026-05-28","5.49","-1.64","LATEST_PRICE_OK"
"49","PUMP","FALSE","40.669884",,,"2026-05-21","2026-05-29","15.26","2026-05-28","15.16","0.66","LATEST_PRICE_OK"
"50","OLPX","FALSE","40.593772",,,"2026-05-21","2026-05-29","2.04","2026-05-28","2.05","-0.49","LATEST_PRICE_OK"
"51","ECL","FALSE","40.524",,,"2026-05-26","2026-05-29","256","2026-05-28","260.25","-1.63","LATEST_PRICE_OK"
"52","LBRT","FALSE","40.458386",,,"2026-05-20","2026-05-29","29.26","2026-05-28","29.06","0.69","LATEST_PRICE_OK"
"53","APLD","FALSE","40.362536",,,"2026-05-21","2026-05-29","47.28","2026-05-28","49.65","-4.77","LATEST_PRICE_OK"
"54","BITF","FALSE","40.209321",,,"2026-05-20","2026-05-29","5.68","2026-05-28","5.615","1.16","LATEST_PRICE_OK"
"55","EWY","FALSE","40.1929",,,"2026-05-20","2026-05-29","205.83","2026-05-28","206.41","-0.28","LATEST_PRICE_OK"
"56","INTC","FALSE","40.192",,,"2026-05-26","2026-05-29","114.68","2026-05-28","120.89","-5.14","LATEST_PRICE_OK"
"57","CRM","FALSE","40.144",,,"2026-05-26","2026-05-29","191.1","2026-05-28","176.17","8.47","LATEST_PRICE_OK"
"58","AEVA","FALSE","40.096142",,,"2026-05-20","2026-05-29","28.18","2026-05-28","25.84","9.06","LATEST_PRICE_OK"
"59","U","FALSE","39.897302",,,"2026-05-21","2026-05-29","30.47","2026-05-28","29.94","1.77","LATEST_PRICE_OK"
"60","ASML","FALSE","39.76",,,"2026-05-26","2026-05-29","1612.76","2026-05-28","1605.77","0.44","LATEST_PRICE_OK"
"61","SMTC","FALSE","39.742207",,,"2026-05-21","2026-05-29","152.54","2026-05-28","166.33","-8.29","LATEST_PRICE_OK"
"62","LYB","FALSE","39.568476",,,"2026-05-20","2026-05-29","66.65","2026-05-28","68.35","-2.49","LATEST_PRICE_OK"
"63","TSM","FALSE","39.38",,,"2026-05-26","2026-05-29","418.45","2026-05-28","424.86","-1.51","LATEST_PRICE_OK"
"64","SEI","FALSE","39.144581",,,"2026-05-21","2026-05-29","69.54","2026-05-28","68.68","1.25","LATEST_PRICE_OK"
"65","CLH","FALSE","38.640282",,,"2026-05-20","2026-05-29","281.03","2026-05-28","280.71","0.11","LATEST_PRICE_OK"
"66","SATS","FALSE","38.622888",,,"2026-05-21","2026-05-29","129.19","2026-05-28","131.07","-1.43","LATEST_PRICE_OK"
"67","CLS","FALSE","38.62",,,"2026-05-26","2026-05-29","385.39","2026-05-28","351.02","9.79","LATEST_PRICE_OK"
"68","HUM","FALSE","38.48347",,,"2026-05-20","2026-05-29","305.42","2026-05-28","308.7","-1.06","LATEST_PRICE_OK"
"69","RVMD","FALSE","38.438059",,,"2026-05-21","2026-05-29","157.48","2026-05-28","154.63","1.84","LATEST_PRICE_OK"
"70","XYZ","FALSE","38.326374",,,"2026-05-21","2026-05-29","75.72","2026-05-28","74.35","1.84","LATEST_PRICE_OK"
"71","VST","FALSE","38.24",,,"2026-05-26","2026-05-29","160.23","2026-05-28","160.28","-0.03","LATEST_PRICE_OK"
"72","WYFI","FALSE","38.017887",,,"2026-05-22","2026-05-29","29.74","2026-05-28","32.18","-7.58","LATEST_PRICE_OK"
"73","WULF","FALSE","38.015944",,,"2026-05-21","2026-05-29","25.56","2026-05-28","26.4","-3.18","LATEST_PRICE_OK"
"74","NVT","FALSE","37.856",,,"2026-05-26","2026-05-29","166.99","2026-05-28","164.87","1.29","LATEST_PRICE_OK"
"75","MOD","FALSE","37.696",,,"2026-05-26","2026-05-29","278.91","2026-05-28","270.7","3.03","LATEST_PRICE_OK"
"76","QSR","FALSE","37.694858",,,"2026-05-21","2026-05-29","74.7","2026-05-28","74.31","0.52","LATEST_PRICE_OK"
"77","AEIS","FALSE","37.690303",,,"2026-05-20","2026-05-29","302.18","2026-05-28","317.08","-4.7","LATEST_PRICE_OK"
"78","XENE","FALSE","37.636994",,,"2026-05-21","2026-05-29","54.73","2026-05-28","54.79","-0.11","LATEST_PRICE_OK"
"79","APH","FALSE","37.476",,,"2026-05-26","2026-05-29","148.76","2026-05-28","147.68","0.73","LATEST_PRICE_OK"
"80","TWST","FALSE","37.448987",,,"2026-05-21","2026-05-29","66.87","2026-05-28","69.03","-3.13","LATEST_PRICE_OK"
"81","GSG","FALSE","37.13243",,,"2026-05-20","2026-05-29","31.8","2026-05-28","32.11","-0.97","LATEST_PRICE_OK"
"82","EQIX","FALSE","36.986178",,,"2026-05-20","2026-05-29","1068.04","2026-05-28","1069.4399","-0.13","LATEST_PRICE_OK"
"83","SOXX","FALSE","36.784",,,"2026-05-26","2026-05-29","569.08","2026-05-28","569.47","-0.07","LATEST_PRICE_OK"
"84","RIOT","FALSE","36.503542",,,"2026-05-21","2026-05-29","27.11","2026-05-28","27.74","-2.27","LATEST_PRICE_OK"
"85","ROKU","FALSE","36.42039",,,"2026-05-21","2026-05-29","130.18","2026-05-28","131.09","-0.69","LATEST_PRICE_OK"
"86","UNH","FALSE","36.332522",,,"2026-05-21","2026-05-29","380.31","2026-05-28","382.53","-0.58","LATEST_PRICE_OK"
