"latest_momentum_rank","ticker","old_rank","composite_candidate_score","latest_price_date","latest_close","previous_price_date","previous_close","one_day_change_pct","latest_price_source","latest_price_purity"
"317","WOLF","39","44.0","2026-05-29","59.28","2026-05-28","65.05","-8.87","FORCE_YFINANCE_LATEST","TRUE"
"316","SMTC","61","39.742207","2026-05-29","152.54","2026-05-28","166.33","-8.29","FORCE_YFINANCE_LATEST","TRUE"
"315","AEHR","308","15.808","2026-05-29","92.33","2026-05-28","99.99","-7.66","FORCE_YFINANCE_LATEST","TRUE"
"314","WYFI","72","38.017887","2026-05-29","29.74","2026-05-28","32.18","-7.58","FORCE_YFINANCE_LATEST","TRUE"
"313","TTMI","40","43.509206","2026-05-29","173.72","2026-05-28","187.79","-7.49","FORCE_YFINANCE_LATEST","TRUE"
"312","TSEM","17","50.428133","2026-05-29","255.23","2026-05-28","275.5","-7.36","FORCE_YFINANCE_LATEST","TRUE"
"311","ACMR","305","17.096","2026-05-29","86.56","2026-05-28","92.86","-6.78","FORCE_YFINANCE_LATEST","TRUE"
"310","MTSI","46","41.672872","2026-05-29","364.64","2026-05-28","391.09","-6.76","FORCE_YFINANCE_LATEST","TRUE"
"309","INTC","56","40.192","2026-05-29","114.68","2026-05-28","120.89","-5.14","FORCE_YFINANCE_LATEST","TRUE"
"308","ALM","25","48.055596","2026-05-29","19.66","2026-05-28","20.7","-5.02","FORCE_YFINANCE_LATEST","TRUE"
"307","NAMS","213","28.653411","2026-05-29","33.68","2026-05-28","35.42","-4.91","FORCE_YFINANCE_LATEST","TRUE"
"306","BTDR","293","21.856","2026-05-29","17.49","2026-05-28","18.38","-4.84","FORCE_YFINANCE_LATEST","TRUE"
"305","APLD","53","40.362536","2026-05-29","47.28","2026-05-28","49.65","-4.77","FORCE_YFINANCE_LATEST","TRUE"
"304","AEIS","77","37.690303","2026-05-29","302.18","2026-05-28","317.08","-4.7","FORCE_YFINANCE_LATEST","TRUE"
"303","SFM","140","32.322369","2026-05-29","82.62","2026-05-28","86.69","-4.69","FORCE_YFINANCE_LATEST","TRUE"
"302","FORM","32","46.62","2026-05-29","124.59","2026-05-28","130.22","-4.32","FORCE_YFINANCE_LATEST","TRUE"
"301","PLUG","33","46.199608","2026-05-29","3.95","2026-05-28","4.12","-4.13","FORCE_YFINANCE_LATEST","TRUE"
"300","COHR","27","47.76","2026-05-29","361.47","2026-05-28","376.95","-4.11","FORCE_YFINANCE_LATEST","TRUE"
"299","MPWR","166","31.0","2026-05-29","1566.21","2026-05-28","1633.17","-4.1","FORCE_YFINANCE_LATEST","TRUE"
"298","ADSK","217","28.378772","2026-05-29","231.31","2026-05-28","240.95","-4","FORCE_YFINANCE_LATEST","TRUE"
