"ticker","old_rank","composite_candidate_score","factor_score","technical_score","latest_price_date","latest_close","previous_price_date","previous_close","one_day_change_pct","latest_price_source","latest_price_purity"
"KEYS","1","57.456",,,"2026-05-29","338.33","2026-05-28","339.13","-0.24","FORCE_YFINANCE_LATEST","TRUE"
"VRT","2","57.4",,,"2026-05-29","315.71","2026-05-28","314.18","0.49","FORCE_YFINANCE_LATEST","TRUE"
"ICHR","3","56.64",,,"2026-05-29","71.52","2026-05-28","70.15","1.95","FORCE_YFINANCE_LATEST","TRUE"
"NVDA","4","54.62",,,"2026-05-29","211.14","2026-05-28","214.25","-1.45","FORCE_YFINANCE_LATEST","TRUE"
"D","5","53.916",,,"2026-05-29","66.94","2026-05-28","67.38","-0.65","FORCE_YFINANCE_LATEST","TRUE"
"AMKR","6","53.592",,,"2026-05-29","69.56","2026-05-28","70.58","-1.45","FORCE_YFINANCE_LATEST","TRUE"
"GOOGL","7","53.476",,,"2026-05-29","380.34","2026-05-28","390.13","-2.51","FORCE_YFINANCE_LATEST","TRUE"
"FIX","8","53.096",,,"2026-05-29","1828.21","2026-05-28","1855.15","-1.45","FORCE_YFINANCE_LATEST","TRUE"
"MCHP","9","52.448",,,"2026-05-29","94.65","2026-05-28","96.04","-1.45","FORCE_YFINANCE_LATEST","TRUE"
"LITE","10","52.332",,,"2026-05-29","854.96","2026-05-28","860.62","-0.66","FORCE_YFINANCE_LATEST","TRUE"
"VIAV","11","51.800559",,,"2026-05-29","48.56","2026-05-28","48.49","0.14","FORCE_YFINANCE_LATEST","TRUE"
"CARR","12","51.684",,,"2026-05-29","63.87","2026-05-28","63.81","0.09","FORCE_YFINANCE_LATEST","TRUE"
"ENTG","13","51.572",,,"2026-05-29","138.79","2026-05-28","138.44","0.25","FORCE_YFINANCE_LATEST","TRUE"
"SITM","14","51.403528",,,"2026-05-29","710.2","2026-05-28","729.51","-2.65","FORCE_YFINANCE_LATEST","TRUE"
"CRWV","15","50.924",,,"2026-05-29","109.53","2026-05-28","106.86","2.5","FORCE_YFINANCE_LATEST","TRUE"
"ETR","16","50.544",,,"2026-05-29","109.05","2026-05-28","109.62","-0.52","FORCE_YFINANCE_LATEST","TRUE"
"TSEM","17","50.428133",,,"2026-05-29","255.23","2026-05-28","275.5","-7.36","FORCE_YFINANCE_LATEST","TRUE"
"COHU","18","50.428",,,"2026-05-29","52.75","2026-05-28","54.05","-2.41","FORCE_YFINANCE_LATEST","TRUE"
