shadow_date,version,shadow_rank,ticker,shadow_score,shadow_factor_count,shadow_factor_ids,official_decision_impact,shadow_only,F002,official_source,official_actionable_buy,official_worth_review_locked,official_match_flag,shadow_top30_flag,compare_bucket,official_status_bucket
2026-05-19,V18.3A,1,AEHR,3.259501140258808,1,F002,NONE,YES,3.259501140258808,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,2,INTC,3.1617681490369174,1,F002,NONE,YES,3.1617681490369174,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,3,SOXL,2.6270841138008474,1,F002,NONE,YES,2.6270841138008474,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,4,MRVL,2.250110274049329,1,F002,NONE,YES,2.250110274049329,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,5,AMD,2.185378006963184,1,F002,NONE,YES,2.185378006963184,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,6,SNDK,2.0384794817486647,1,F002,NONE,YES,2.0384794817486647,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,7,FLEX,1.8266470833112003,1,F002,NONE,YES,1.8266470833112003,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,8,DELL,1.7639568244470551,1,F002,NONE,YES,1.7639568244470551,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,True,True,True,SHADOW_TOP30_AND_OFFICIAL_REVIEW,OFFICIAL_WORTH_REVIEW_LOCKED
2026-05-19,V18.3A,9,IRDM,1.6303502277294042,1,F002,NONE,YES,1.6303502277294042,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-19,V18.3A,10,VECO,1.6107178302258345,1,F002,NONE,YES,1.6107178302258345,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
