shadow_date,version,shadow_rank,ticker,shadow_score,shadow_factor_count,shadow_factor_ids,official_decision_impact,shadow_only,F002,v17_source,official_actionable_buy,official_worth_review_locked,official_blocked_or_locked,official_raw_text_short,official_match_flag,shadow_top30_flag,compare_bucket,official_status_bucket
2026-05-13,V18.3A,1,AEHR,4.6891296966706655,1,F002,NONE,YES,4.6891296966706655,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,AEHR 2026-05-13 16:07:52 MAIN_COMPUTE_UNIVERSE TRUE TRUE TRUE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 96.72000122070312 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 96.72000122070312 3673100.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_DATE,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,2,SOXL,3.0732002718209888,1,F002,NONE,YES,3.0732002718209888,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,SOXL 2026-05-13 16:07:52 CLASSIFIED_ONLY_NOT_MAIN_COMPUTE TRUE TRUE FALSE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 172.52000427246094 LEVERAGED_ETF_WATCH_ONLY NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 172.52000427246094 90570500.0 OK,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,3,INTC,2.8523194237209046,1,F002,NONE,YES,2.8523194237209046,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,INTC 2026-05-13 16:07:52 MAIN_COMPUTE_UNIVERSE TRUE TRUE TRUE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 120.61000061035156 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 120.61000061035156 171427900.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,4,SNDK,2.2363161136068763,1,F002,NONE,YES,2.2363161136068763,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,SNDK 2026-05-13 16:07:52 CLASSIFIED_ONLY_NOT_MAIN_COMPUTE TRUE TRUE FALSE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 1452.02001953125 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 1452.02001953125 16957100.0 OK_LATEST_AVAILABLE ACCEPT_,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,5,FLEX,1.8979550016491324,1,F002,NONE,YES,1.8979550016491324,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,FLEX 2026-05-13 16:07:52 MAIN_COMPUTE_UNIVERSE TRUE TRUE TRUE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 139.69000244140625 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 139.69000244140625 8015300.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_DA,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,6,AMD,1.869094524562992,1,F002,NONE,YES,1.869094524562992,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,AMD 2026-05-13 16:07:52 CLASSIFIED_ONLY_NOT_MAIN_COMPUTE TRUE TRUE FALSE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 448.2900085449219 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 448.2900085449219 38975300.0 OK_LATEST_AVAILABLE ACCEPT,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,7,MRVL,1.7065889986613676,1,F002,NONE,YES,1.7065889986613676,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,MRVL 2026-05-13 16:07:52 MAIN_COMPUTE_UNIVERSE TRUE TRUE TRUE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 164.5 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 164.5 21317800.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_DATE 2026-05-12 OK PASS_BAS,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,8,DELL,1.5795751851266444,1,F002,NONE,YES,1.5795751851266444,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,True,True,DELL 2026-05-13 16:07:52 SECOND_STAGE_CANDIDATE TRUE TRUE TRUE TRUE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 238.94000244140625 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 238.94000244140625 7134500.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_DA,True,True,SHADOW_TOP30_AND_OFFICIAL_REVIEW,OFFICIAL_WORTH_REVIEW_LOCKED
2026-05-13,V18.3A,9,BE,1.5053943901936444,1,F002,NONE,YES,1.5053943901936444,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,BE 2026-05-13 16:07:52 MAIN_COMPUTE_UNIVERSE TRUE TRUE TRUE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 280.69000244140625 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 280.69000244140625 7453200.0 OK_LATEST_AVAILABLE ACCEPT_LATEST_DATE,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
2026-05-13,V18.3A,10,STX,1.2528034586388517,1,F002,NONE,YES,1.2528034586388517,D:\us-tech-quant\outputs\v17\raw105_decision\v17_8A_raw105_full_decision_daily.csv,False,False,True,STX 2026-05-13 16:07:52 CLASSIFIED_ONLY_NOT_MAIN_COMPUTE TRUE TRUE FALSE FALSE TRUE OK_EXISTING_LOCAL_PRICE 2026-05-12 808.7999877929688 NAN NAN OK_YFINANCE_LATEST_AVAILABLE 2026-05-12 808.7999877929688 3781700.0 OK_LATEST_AVAILABLE ACCEPT_,False,True,SHADOW_TOP30_ONLY,OFFICIAL_BLOCKED_OR_LOCKED
