snapshot_price_date,ticker,yf_ticker,baseline_close,technical_timing_score,technical_signal,bb_status,rsi_status,kdj_status,bb_percent_b,bb_bandwidth,signal_bb_squeeze,rsi_14,kdj_k,kdj_d,kdj_j,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_warning_label,vix_date,vix_close,vix_regime,signal_watch_positive,signal_pullback_watch,signal_overheat_old,signal_breakout_continuation,signal_exhaustion_risk,signal_overheat_unclassified,official_decision_impact,tracker_added_at,obs_price_date_1,obs_close_1,ret_fwd_1,completed_1,obs_price_date_3,obs_close_3,ret_fwd_3,completed_3,obs_price_date_5,obs_close_5,ret_fwd_5,completed_5,obs_price_date_10,obs_close_10,ret_fwd_10,completed_10,obs_price_date_20,obs_close_20,ret_fwd_20,completed_20
2026-05-15,ARM,ARM,212.48,50.0,TECH_TIMING_NEUTRAL,BB_MID,RSI_NEUTRAL,KDJ_DEAD_CROSS,0.5526,0.3025,False,56.2185,46.4282,49.1164,41.0519,0.7146,0,0,0,NONE,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,ASML,ASML,1518.1851,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_HIGH_DEAD_CROSS,0.6419,0.1854,False,53.838,75.2222,77.972,69.7225,0.986,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,AVGO,AVGO,426.83,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.6948,0.1007,True,59.3917,64.1696,63.8626,64.7835,0.855,0,0,0,NONE,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,BE,BE,279.785,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_HIGH_DEAD_CROSS,0.6327,0.4397,False,60.141,66.5172,69.3111,60.9294,0.8179,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,BTDR,BTDR,13.28,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_HIGH_DEAD_CROSS,0.641,0.3539,False,55.5319,57.1749,59.9675,51.5898,1.1601,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CAMT,CAMT,170.9,68.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,RSI_WEAK,KDJ_NEUTRAL,0.1196,0.2449,False,43.9125,25.0027,37.5258,-0.0435,1.6728,0,14,4,NONE,2026-05-15,18.37,VIX_CAUTION,True,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CARR,CARR,64.59,50.0,TECH_TIMING_NEUTRAL,BB_MID,RSI_NEUTRAL,KDJ_NEUTRAL,0.5219,0.1591,False,52.5627,38.3818,50.8102,13.525,0.5938,0,0,0,NONE,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CEG,CEG,268.405,68.0,TECH_TIMING_WATCH_POSITIVE,BB_NEAR_LOWER,RSI_WEAK,KDJ_NEUTRAL,0.0379,0.2241,False,35.5886,15.0639,29.9945,-14.7975,1.3861,0,14,4,NONE,2026-05-15,18.37,VIX_CAUTION,True,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CIEN,CIEN,567.32,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_HIGH_DEAD_CROSS,0.7256,0.2654,False,60.8041,76.3392,79.0687,70.8803,0.7417,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CIFR,CIFR,20.4201,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.6455,0.3577,False,56.1766,64.8907,64.1041,66.4639,0.9232,0,0,0,NONE,2026-05-15,18.37,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:01:27,,,,False,,,,False,,,,False,,,,False,,,,False
