snapshot_price_date,ticker,yf_ticker,baseline_close,technical_timing_score,technical_signal,bb_status,rsi_status,kdj_status,bb_percent_b,bb_bandwidth,signal_bb_squeeze,rsi_14,kdj_k,kdj_d,kdj_j,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_warning_label,vix_date,vix_close,vix_regime,signal_watch_positive,signal_pullback_watch,signal_overheat_old,signal_breakout_continuation,signal_exhaustion_risk,signal_overheat_unclassified,official_decision_impact,tracker_added_at,obs_price_date_1,obs_close_1,ret_fwd_1,completed_1,obs_price_date_3,obs_close_3,ret_fwd_3,completed_3,obs_price_date_5,obs_close_5,ret_fwd_5,completed_5,obs_price_date_10,obs_close_10,ret_fwd_10,completed_10,obs_price_date_20,obs_close_20,ret_fwd_20,completed_20
2026-05-15,ASML,ASML,1515.245,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_HIGH_DEAD_CROSS,0.6319,0.1852,False,53.5624,74.7039,77.7993,68.5133,0.9886,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,AVGO,AVGO,427.63,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.7121,0.101,True,59.7669,64.8796,64.0993,66.4401,0.8623,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,BE,BE,280.65,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_HIGH_DEAD_CROSS,0.6397,0.44,False,60.4542,66.9906,69.4689,62.0341,0.8208,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,BTDR,BTDR,13.295,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_HIGH_DEAD_CROSS,0.6441,0.354,False,55.6188,57.3421,60.0232,51.98,1.1648,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CAMT,CAMT,170.33,68.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,RSI_WEAK,KDJ_NEUTRAL,0.1094,0.246,False,43.6655,24.642,37.4056,-0.8851,1.6751,0,14,4,NONE,2026-05-15,18.35,VIX_CAUTION,True,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CARR,CARR,64.675,50.0,TECH_TIMING_NEUTRAL,BB_MID,RSI_NEUTRAL,KDJ_NEUTRAL,0.5298,0.1592,False,52.8164,39.0018,51.0169,14.9718,0.5959,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CEG,CEG,268.97,68.0,TECH_TIMING_WATCH_POSITIVE,BB_NEAR_LOWER,RSI_WEAK,KDJ_NEUTRAL,0.0444,0.2234,False,35.7819,15.3717,30.0972,-14.0791,1.3895,0,14,4,NONE,2026-05-15,18.35,VIX_CAUTION,True,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CIEN,CIEN,566.775,40.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_HIGH_DEAD_CROSS,0.7221,0.2652,False,60.6618,76.1213,78.996,70.3718,0.7456,10,0,0,KDJ_HIGH_DEAD_CROSS,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CIFR,CIFR,20.4499,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.6495,0.3578,False,56.3067,65.0776,64.1664,66.9,0.9252,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CLS,CLS,361.81,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.1021,0.2055,False,46.094,22.277,34.2325,-1.6341,0.6904,0,8,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
