ticker,canonical_universe_present,first_seen_date,last_attempt_scan_timestamp,last_success_scan_timestamp,last_success_scan_date,last_scan_status,last_scan_run_id,success_scan_count,attempt_scan_count,local_price_available,factor_pack_available,technical_timing_available,full_history_ready,failure_reason,source_notes,last_attempt_scan_date,last_scan_source,last_scan_mode,last_scan_note
AA,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
AAL,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
AAPL,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ABR,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
ACLS,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ACM,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ACMR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ADBE,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
ADMA,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
ADSK,TRUE,2026-05-21,2026-05-22T14:37:19,2026-05-22T14:37:19,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R22B_20260522_143719,2,4,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-22,V18_25A_R22B_LOCAL_REFRESH_PLAN_LEDGER_UPDATE,APPLY_LEDGER_UPDATE_LOCAL_ONLY,R22B local price cache validation passed; no external fetch.
