source_path,exists,readable,row_count,ticker_count,modified_time,detected_rank_column,detected_score_columns,detected_factor_columns,source_quality_status,notes
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,TRUE,TRUE,20,20,2026-05-19T12:28:28,rank,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,rank;composite_candidate_score;ranking_source_policy;primary_score_source_files;score_source_status;score_source_files;score_source_columns;technical_status;event_risk_status;overheat_status;pullback_status;execution_status,TICKER_SCORE_SOURCE,OK
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TRUE,TRUE,325,325,2026-05-19T12:28:21,,volume_surge_score;promotion_score;demotion_score,last_event_update_date;last_event_update_depth;event_cache_status;ret_5d;ret_20d;ret_60d;ret_120d;above_ma20;above_ma60;above_ma120;relative_strength_vs_qqq;relative_strength_vs_smh;volume_surge_score;light_trend_status;promotion_score;demotion_score,TICKER_SCORE_SOURCE,OK
outputs/v18/universe/V18_CURRENT_PRIORITY_LIGHT_SCAN_RESULT.csv,TRUE,TRUE,45,45,2026-05-19T12:28:21,,volume_surge_score;promotion_score_prelim;demotion_score_prelim,ret_5d;ret_20d;ret_60d;ret_120d;ma20;ma60;ma120;above_ma20;above_ma60;above_ma120;simple_volatility_20d;relative_strength_vs_qqq;relative_strength_vs_smh;relative_strength_vs_xlk;volume_surge_score;volatility_status;overheat_status;light_trend_status;trend_improvement_flag;scan_quality_status;promotion_score_prelim;demotion_score_prelim,TICKER_SCORE_SOURCE,OK
outputs/v18/universe/V18_CURRENT_PROMOTION_DEMOTION_AUDIT.csv,TRUE,TRUE,45,45,2026-05-19T12:28:21,,promotion_score;demotion_score,promotion_score;demotion_score,TICKER_SCORE_SOURCE,OK
outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES.csv,TRUE,TRUE,20,20,2026-05-19T12:28:28,rank,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,rank;composite_candidate_score;ranking_source_policy;primary_score_source_files;score_source_status;score_source_files;score_source_columns;technical_status;event_risk_status;overheat_status;pullback_status;execution_status,TICKER_SCORE_SOURCE,OK
outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv,TRUE,TRUE,90,0,2026-05-19T12:28:28,,score_columns_found,score_columns_found;selected_for_ranking,NO_TICKER_LINK,OK
outputs/v18/candidates/V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,TRUE,20,20,2026-05-19T12:28:37,rank,score;factor_score;technical_score,rank;rank_source;score;factor_score;technical_score;risk_label,TICKER_SCORE_SOURCE,OK
outputs/v18/candidates/V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER_AUDIT.csv,TRUE,TRUE,6,0,2026-05-19T12:28:37,,,value,NO_TICKER_LINK,OK
outputs/v18/candidates/V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,TRUE,TRUE,20,20,2026-05-19T12:28:51,rank,score;factor_score;technical_score,rank;rank_source;score;factor_score;technical_score;risk_label,TICKER_SCORE_SOURCE,OK
outputs/v18/candidates/V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_AUDIT.csv,TRUE,TRUE,6,0,2026-05-19T12:28:51,,,value,NO_TICKER_LINK,OK
