source_path,column_name,inferred_factor_family,numeric_like,non_null_count,matched_ranked_candidate_count,verification_status
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,rank,UNKNOWN_SCORE_FIELD,TRUE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,composite_candidate_score,UNKNOWN_SCORE_FIELD,TRUE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,ranking_source_policy,UNKNOWN_SCORE_FIELD,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,primary_score_source_files,UNKNOWN_SCORE_FIELD,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,score_source_status,UNKNOWN_SCORE_FIELD,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,score_source_files,UNKNOWN_SCORE_FIELD,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,score_source_columns,UNKNOWN_SCORE_FIELD,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,technical_status,TECHNICAL_LIFECYCLE,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,event_risk_status,RISK,FALSE,0,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,overheat_status,OVERHEAT,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,pullback_status,PULLBACK,FALSE,20,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,execution_status,EXECUTION,FALSE,0,20,VERIFIED_USED_IN_RANKING_FILE
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,last_event_update_date,EVENT_RISK,FALSE,0,20,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,last_event_update_depth,EVENT_RISK,FALSE,0,20,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,event_cache_status,EVENT_RISK,FALSE,325,20,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,ret_5d,MOMENTUM,TRUE,102,20,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER
