factor_family,candidate_field_names,found_in_ranking_file,found_in_upstream_files,verified_used_status,source_file,source_column,matched_ticker_count,notes
TREND,,FALSE,TRUE,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,above_ma20;above_ma60;above_ma120;light_trend_status;ma20,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
MOMENTUM,,FALSE,TRUE,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,ret_5d;ret_20d;ret_60d;ret_120d;ret_5d,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
RELATIVE_STRENGTH,,FALSE,TRUE,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,relative_strength_vs_qqq;relative_strength_vs_smh;relative_strength_vs_qqq;relative_strength_vs_smh;relative_strength_vs_xlk,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
PULLBACK,pullback_status,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,pullback_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
TECHNICAL_LIFECYCLE,technical_status;technical_timing_score,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,technical_status;technical_timing_score,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
QUALITY,,FALSE,TRUE,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER,outputs/v18/universe/V18_CURRENT_PRIORITY_LIGHT_SCAN_RESULT.csv,scan_quality_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
GROWTH,,FALSE,FALSE,NOT_FOUND,,,0,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
VALUATION,,FALSE,TRUE,PRESENT_UPSTREAM_BUT_NOT_LINKED,outputs/v18/candidates/V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER_AUDIT.csv,value;value;output_value_status;output_non_null_value_count;output_numeric_value_count,0,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
EARNINGS,,FALSE,FALSE,NOT_FOUND,,,0,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
RISK,event_risk_status,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,event_risk_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
OVERHEAT,overheat_penalty;overheat_status,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,overheat_penalty;overheat_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
VOLATILITY,volatility_penalty,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,volatility_penalty,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
EVENT_RISK,,FALSE,TRUE,PRESENT_IN_UPSTREAM_FILE_MATCHED_BY_TICKER,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,last_event_update_date;last_event_update_depth;event_cache_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
EXECUTION,execution_status,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,execution_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
LIQUIDITY,,FALSE,FALSE,NOT_FOUND,,,0,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
UNKNOWN_SCORE_FIELD,composite_candidate_score;factor_pack_rank;factor_pack_score;primary_score_source_files;rank;ranking_source_policy;score_source_columns;score_source_files;score_source_status,TRUE,TRUE,VERIFIED_USED_IN_RANKING_FILE,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,composite_candidate_score;factor_pack_rank;factor_pack_score;primary_score_source_files;rank;ranking_source_policy;score_source_columns;score_source_files;score_source_status,20,Verified only when field or score_source_columns metadata is present in current ranked candidate file.
