ticker,rank,final_score,inferred_sort_score,score_source_file,score_source_status,universe_tier,data_sufficiency_status,scan_status,light_trend_status,promotion_score,demotion_score,verified_factor_family_count,not_verified_factor_family_count,explanation_status,explanation_short
APH,1,29.788571,29.788571,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,WEAK_DOWNTREND,-30,150,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 1 uses score composite_candidate_score=29.788571; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=WEAK_DOWNTREND."
ACM,2,26.558730,26.558730,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,WEAK_DOWNTREND,-30,150,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 2 uses score composite_candidate_score=26.558730; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=WEAK_DOWNTREND."
CAMT,3,23.385270,23.385270,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,WEAK_DOWNTREND,20,135,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 3 uses score composite_candidate_score=23.385270; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=WEAK_DOWNTREND."
ASML,4,23.381905,23.381905,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,STRONG_UPTREND,195,15,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 4 uses score composite_candidate_score=23.381905; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=STRONG_UPTREND."
CEG,5,20.464444,20.464444,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,WEAK_DOWNTREND,-30,150,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 5 uses score composite_candidate_score=20.464444; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=WEAK_DOWNTREND."
AMAT,6,17.866286,17.866286,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,STRONG_UPTREND,210,0,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 6 uses score composite_candidate_score=17.866286; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=STRONG_UPTREND."
AMKR,7,13.462921,13.462921,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CANDIDATE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,SIDEWAYS_OR_MIXED,160,25,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 7 uses score composite_candidate_score=13.462921; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CANDIDATE, trend=SIDEWAYS_OR_MIXED."
ANET,8,9.155175,9.155175,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,STRONG_WATCH,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,WEAK_DOWNTREND,50,115,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 8 uses score composite_candidate_score=9.155175; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=STRONG_WATCH, trend=WEAK_DOWNTREND."
AMZN,9,6.746984,6.746984,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CANDIDATE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,SIDEWAYS_OR_MIXED,160,25,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 9 uses score composite_candidate_score=6.746984; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CANDIDATE, trend=SIDEWAYS_OR_MIXED."
CARR,10,6.112825,6.112825,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,STRONG_UPTREND,195,15,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 10 uses score composite_candidate_score=6.112825; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=STRONG_UPTREND."
AVGO,11,2.810857,2.810857,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,OK_SCORE_SOURCE_FOUND,CORE_DAILY,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,STRONG_UPTREND,195,15,7,9,EXPLAINED_FROM_RANKING_FIELDS,"Rank 11 uses score composite_candidate_score=2.810857; source columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty; rolling scan cross-check tier=CORE_DAILY, trend=STRONG_UPTREND."
