ticker,latest_price_date,latest_close,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ma20,ma60,drawdown_20d_high,drawdown_60d_high,volume_avg_5d,volume_avg_20d,volume_ratio_5_20,ann_volatility_20d,trend_ok_60_120,short_rev_raw,ts_momentum_raw,volume_price_confirm_raw,pullback_uptrend_raw,ts_pullback_reversal_raw,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,F010_XSEC_COMPOSITE_RANK_RAW,F010_XSEC_COMPOSITE_RANK,factor_pack_score,factor_pack_rank,shadow_side_hint
FORM,2026-05-18,117.419998,-0.070088,-0.224439,-0.184753,0.241751,1.375961,139.202996,115.459999,-0.242842,-0.242842,2771776.2,2404334.05,1.152825,0.756445,True,0.224439,0.808856,-0.258738,0.4,0.161771,98.095238,98.051948,81.904762,2.857143,79.047619,91.428571,71.428571,39.047619,67.285714,100.0,100.0,1,PULLBACK_IN_UPTREND
LITE,2026-05-18,884.97998,-0.088307,-0.159635,-0.011317,0.325277,2.462499,922.269498,801.782999,-0.159635,-0.159635,6556626.2,6226461.55,1.053026,1.008413,True,0.159635,1.393888,-0.1681,0.31927,0.222513,93.333333,92.207792,70.47619,6.666667,92.380952,95.238095,83.809524,55.238095,64.933333,99.047619,99.05,2,PULLBACK_IN_UPTREND
POWL,2026-05-18,266.799988,-0.088331,-0.171557,0.104076,0.463736,1.839159,279.923997,219.611999,-0.171557,-0.171557,829993.4,771973.35,1.075158,0.744925,True,0.171557,1.151448,-0.184451,0.343114,0.197539,95.238095,94.805195,73.333333,5.714286,86.666667,93.333333,69.52381,68.571429,64.038095,98.095238,98.1,3,PULLBACK_IN_UPTREND
MU,2026-05-18,681.539978,-0.059504,-0.143073,0.51987,0.59242,2.289298,617.320505,477.920101,-0.151923,-0.151923,55590923.0,48702360.75,1.141442,0.932202,True,0.143073,1.440859,-0.163309,0.294996,0.206148,91.428571,89.61039,80.952381,7.619048,93.333333,94.285714,80.0,92.380952,61.371429,97.142857,97.14,4,PULLBACK_IN_UPTREND
SOXL,2026-05-18,151.75,-0.07571,-0.203077,0.581718,1.261213,3.78254,143.451001,88.745333,-0.203077,-0.203077,66208782.4,64524315.6,1.026106,1.431855,True,0.203077,2.521877,-0.208379,0.4,0.504375,97.142857,98.051948,62.857143,3.809524,99.047619,100.0,99.047619,98.095238,61.285714,96.190476,96.19,5,PULLBACK_IN_UPTREND
GLW,2026-05-18,178.550003,-0.069131,-0.139062,0.079635,0.282225,1.251237,176.9405,156.14747,-0.142741,-0.142741,16097877.8,14662379.45,1.097904,0.901729,True,0.139062,0.766731,-0.152676,0.281802,0.106623,89.52381,81.818182,77.142857,11.428571,78.095238,86.666667,78.095238,51.428571,60.07619,95.238095,95.24,6,PULLBACK_IN_UPTREND
AEHR,2026-05-18,83.57,-0.160101,-0.200746,-0.072989,1.487202,3.122842,93.740501,62.763834,-0.214124,-0.214124,3027085.4,3104306.35,0.975125,1.1209,True,0.200746,2.305022,-0.195752,0.4,0.461004,96.190476,98.051948,52.380952,4.761905,98.095238,98.095238,93.333333,100.0,59.761905,94.285714,94.29,7,PULLBACK_IN_UPTREND
ICHR,2026-05-18,66.599998,-0.091033,-0.134503,0.033199,0.322741,3.48787,69.76475,56.516917,-0.134503,-0.134503,902212.2,1066643.05,0.845843,0.704175,True,0.134503,1.905306,-0.113768,0.269006,0.256269,85.714286,79.220779,20.952381,18.095238,97.142857,96.190476,65.714286,54.285714,59.257143,93.333333,93.33,8,PULLBACK_IN_UPTREND
MOD,2026-05-18,247.130005,-0.088955,-0.132268,-0.017376,0.091757,0.727699,261.941,233.372167,-0.154128,-0.154128,1128744.2,941416.05,1.198986,0.679803,True,0.132268,0.409728,-0.158588,0.286396,0.054194,84.761905,85.714286,84.761905,9.52381,46.666667,77.142857,60.952381,20.952381,57.6,92.380952,92.38,9,PULLBACK_IN_UPTREND
SNDK,2026-05-18,1333.01001,-0.052998,-0.138638,0.460001,1.050879,5.656064,1238.488489,883.991498,-0.146786,-0.146786,13548789.8,15352747.45,0.882499,1.050281,True,0.138638,3.353472,-0.122348,0.285424,0.464917,87.619048,84.415584,33.333333,15.238095,100.0,99.047619,89.52381,93.333333,56.228571,91.428571,91.43,10,PULLBACK_IN_UPTREND
