factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
246,DB,31.106379,2026-05-29,32.29999923706055,0.017964,0.028990,-0.106253,-0.089628,1.282036,45.509,33.333333,52.135733,39.527704,31.106379,26.803967,33.333333,,,V18_35D_RECOMPUTE
247,COF,31.077017,2026-05-29,187.92999267578125,0.011518,-0.044246,-0.086788,-0.135835,1.106203,47.1205,33.333333,40.413533,25.175824,31.077017,25.912567,33.333333,,,V18_35D_RECOMPUTE
248,CVNA,31.061631,2026-05-29,73.0,0.086795,-0.107754,0.031365,-0.025367,0.869706,28.30125,4.401667,24.647067,17.714283,31.061631,33.533267,4.401667,,,V18_35D_RECOMPUTE
249,FLS,30.999033,2026-05-29,75.51000213623047,0.110605,-0.078135,-0.179596,0.070153,0.820953,22.34875,33.333333,21.396867,22.642473,30.999033,29.685233,33.333333,,,V18_35D_RECOMPUTE
250,MNTN,30.574358,2026-05-29,9.430000305175781,0.151404,-0.053213,-0.033811,-0.289375,0.796678,12.149,33.333333,19.778533,26.267729,30.574358,22.560467,33.333333,,,V18_35D_RECOMPUTE
251,DASH,30.545101,2026-05-29,159.2899932861328,0.036370,-0.100057,-0.079568,-0.187213,1.154495,40.9075,33.333333,43.633,14.080782,30.545101,24.440633,33.333333,,,V18_35D_RECOMPUTE
252,UPST,30.507678,2026-05-29,33.790000915527344,0.145036,0.008958,0.138861,-0.248443,0.932002,13.741,0.0,28.800133,34.724812,30.507678,29.6806,0.0,,,V18_35D_RECOMPUTE
253,NTRA,30.484956,2026-05-29,223.3699951171875,0.134376,0.110520,0.054478,-0.057988,1.023588,16.406,0.0,34.905867,52.187824,30.484956,33.216333,0.0,,,V18_35D_RECOMPUTE
254,PATH,30.396394,2026-05-29,11.720000267028809,0.141188,0.130183,0.094304,-0.154401,0.861976,14.703,0.0,24.131733,52.03577,30.396394,31.3301,0.0,,,V18_35D_RECOMPUTE
255,VEEV,30.358872,2026-05-29,174.33999633789062,0.097444,0.081983,-0.046593,-0.274460,0.507283,25.639,33.333333,0.485533,40.264764,30.358872,22.631567,33.333333,,,V18_35D_RECOMPUTE
