schema_item,value,notes
current_field_count,20,"factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint"
staged_field_count,20,"factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint"
missing_current_fields_from_staged,0,
extra_staged_fields_not_merged,0,
schema_compatibility_status,MERGE_SCHEMA_COMPATIBLE,Current factor pack schema preserved.
r13_schema_compatibility_status,MERGE_SCHEMA_COMPATIBLE,D:\us-tech-quant\outputs\v18\factor_pack\V18_25A_R13_TARGETED_FACTOR_PACK_SCHEMA_AUDIT.csv
