factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
1,AGX,100.0,2026-05-20,630.5,-0.124208,-0.032501,0.408624,0.689035,1.049289,100.0,100.0,75.0,1.923077,100.0,88.461538,98.039216,65.384615,90.384615,PULLBACK_IN_UPTREND
2,FORM,100.0,2026-05-18,117.419998,-0.224439,-0.184753,0.241751,1.375961,1.152825,98.095238,98.051948,81.904762,2.857143,100.0,79.047619,91.428571,71.428571,39.047619,PULLBACK_IN_UPTREND
3,LITE,99.05,2026-05-18,884.97998,-0.159635,-0.011317,0.325277,2.462499,1.053026,93.333333,92.207792,70.47619,6.666667,99.047619,92.380952,95.238095,83.809524,55.238095,PULLBACK_IN_UPTREND
4,POWL,98.1,2026-05-18,266.799988,-0.171557,0.104076,0.463736,1.839159,1.075158,95.238095,94.805195,73.333333,5.714286,98.095238,86.666667,93.333333,69.52381,68.571429,PULLBACK_IN_UPTREND
5,MTZ,98.08,2026-05-20,384.209991,-0.093395,0.020478,0.335454,0.866275,1.037233,94.230769,91.666667,67.307692,9.615385,98.076923,90.384615,96.078431,61.538462,84.615385,PULLBACK_IN_UPTREND
6,MU,97.14,2026-05-18,681.539978,-0.143073,0.51987,0.59242,2.289298,1.141442,91.428571,89.61039,80.952381,7.619048,97.142857,93.333333,94.285714,80.0,92.380952,PULLBACK_IN_UPTREND
7,SOXL,96.19,2026-05-18,151.75,-0.203077,0.581718,1.261213,3.78254,1.026106,97.142857,98.051948,62.857143,3.809524,96.190476,99.047619,100.0,99.047619,98.095238,PULLBACK_IN_UPTREND
8,AEIS,96.15,2026-05-20,313.049988,-0.077066,-0.170047,-0.067582,0.520251,1.387391,90.384615,,96.153846,7.692308,96.153846,78.846154,92.156863,75.0,26.923077,NEUTRAL_SHADOW
9,GLW,95.24,2026-05-18,178.550003,-0.139062,0.079635,0.282225,1.251237,1.097904,89.52381,81.818182,77.142857,11.428571,95.238095,78.095238,86.666667,78.095238,51.428571,PULLBACK_IN_UPTREND
10,AEHR,94.29,2026-05-18,83.57,-0.200746,-0.072989,1.487202,3.122842,0.975125,96.190476,98.051948,52.380952,4.761905,94.285714,98.095238,98.095238,93.333333,100.0,PULLBACK_IN_UPTREND
11,ALM,94.23,2026-05-20,17.639999,-0.096774,-0.243892,0.063932,1.845161,0.992999,96.153846,,55.769231,11.538462,94.230769,100.0,100.0,96.153846,61.538462,NEUTRAL_SHADOW
12,ICHR,93.33,2026-05-18,66.599998,-0.134503,0.033199,0.322741,3.48787,0.845843,85.714286,79.220779,20.952381,18.095238,93.333333,97.142857,96.190476,65.714286,54.285714,PULLBACK_IN_UPTREND
13,MOD,92.38,2026-05-18,247.130005,-0.132268,-0.017376,0.091757,0.727699,1.198986,84.761905,85.714286,84.761905,9.52381,92.380952,46.666667,77.142857,60.952381,20.952381,PULLBACK_IN_UPTREND
14,BLTE,92.31,2026-05-20,143.360001,-0.06618,-0.14371,-0.229868,0.121753,1.662741,88.461538,,98.076923,5.769231,92.307692,38.461538,80.392157,17.307692,5.769231,NEUTRAL_SHADOW
15,SNDK,91.43,2026-05-18,1333.01001,-0.138638,0.460001,1.050879,5.656064,0.882499,87.619048,84.415584,33.333333,15.238095,91.428571,100.0,99.047619,89.52381,93.333333,PULLBACK_IN_UPTREND
16,SITM,91.00882,2026-05-21,702.885009765625,-0.143043,0.263886,0.680859,1.42969,1.376442,85.76075,81.014333,58.429467,93.870629,91.00882,100.0,81.014333,,,STAGED_R25B_RECOMPUTE
17,INTC,90.48,2026-05-18,108.169998,-0.164323,0.646423,1.452278,2.135362,0.859726,94.285714,93.506494,22.857143,12.380952,90.47619,96.190476,97.142857,97.142857,99.047619,PULLBACK_IN_UPTREND
18,AA,90.38,2026-05-20,64.139999,-0.062829,-0.06406,0.044455,0.636224,1.024831,86.538462,,63.461538,15.384615,90.384615,82.692308,94.117647,48.076923,59.615385,NEUTRAL_SHADOW
19,WDC,89.52,2026-05-18,458.679993,-0.110792,0.226057,0.607241,2.29958,0.803627,79.047619,72.727273,19.047619,26.666667,89.52381,94.285714,90.47619,50.47619,78.095238,NEUTRAL_SHADOW
20,BW,88.803,2026-05-21,20.540000915527344,-0.032045,0.311622,1.249726,2.28115,1.355399,58.01125,44.015,57.0266,100.0,88.803,100.0,44.015,,,STAGED_R25B_RECOMPUTE
21,TSEM,88.570333,2026-05-21,272.67498779296875,-0.028555,0.354772,1.164603,1.63556,0.863885,57.13875,42.851667,24.259,84.413702,88.570333,100.0,42.851667,,,STAGED_R25B_RECOMPUTE
22,AMKR,88.57,2026-05-18,66.040001,-0.138871,-0.048963,0.380195,1.068754,0.713682,88.571429,88.311688,3.809524,22.857143,88.571429,76.190476,85.714286,57.142857,60.952381,PULLBACK_IN_UPTREND
23,BIDU,88.46,2026-05-20,135.220001,-0.101528,0.096764,0.011898,0.147099,1.115927,98.076923,83.333333,78.846154,3.846154,88.461538,67.307692,84.313725,86.538462,73.076923,PULLBACK_IN_UPTREND
24,STX,87.62,2026-05-18,740.840027,-0.111713,0.372561,0.805192,2.133098,0.671719,80.0,74.025974,1.904762,35.238095,87.619048,95.238095,92.380952,58.095238,84.761905,NEUTRAL_SHADOW
25,FIX,86.67,2026-05-18,1854.430054,-0.087469,0.104201,0.269377,1.076012,0.941416,68.571429,64.935065,44.761905,29.52381,86.666667,72.380952,79.047619,36.190476,49.52381,NEUTRAL_SHADOW
26,MTSI,86.54,2026-05-20,375.709991,-0.015306,0.356354,0.51319,1.26495,1.134321,61.538462,41.666667,82.692308,38.461538,86.538462,98.076923,90.196078,71.153846,98.076923,NEUTRAL_SHADOW
27,STM,86.392267,2026-05-21,64.6449966430664,0.004116,0.300443,0.870515,1.854084,0.837763,48.971,31.961333,22.517533,75.283338,86.392267,100.0,31.961333,,,STAGED_R25B_RECOMPUTE
28,COHU,85.71,2026-05-18,44.200001,-0.138065,-0.001581,0.400507,0.997289,0.728108,86.666667,80.519481,7.619048,21.904762,85.714286,75.238095,83.809524,45.714286,65.714286,PULLBACK_IN_UPTREND
29,KEYS,84.76,2026-05-18,340.480011,-0.070641,0.015934,0.398046,0.971397,1.269351,58.095238,49.350649,88.571429,25.714286,84.761905,74.285714,73.333333,12.380952,64.761905,NEUTRAL_SHADOW
30,CLH,84.62,2026-05-20,291.399994,-0.038125,-0.042707,0.023677,0.301706,0.968043,73.076923,,46.153846,26.923077,84.615385,73.076923,82.352941,38.461538,57.692308,NEUTRAL_SHADOW
31,VIAV,84.501397,2026-05-21,48.97999954223633,-0.077763,0.061322,0.587682,1.727172,0.999731,69.44075,59.254333,33.3154,43.550917,84.501397,100.0,59.254333,,,STAGED_R25B_RECOMPUTE
32,CIEN,83.81,2026-05-18,524.530029,-0.097924,0.042244,0.565995,1.9425,0.862234,73.333333,70.12987,23.809524,28.571429,83.809524,89.52381,89.52381,66.666667,73.333333,NEUTRAL_SHADOW
33,CAMT,82.86,2026-05-18,155.740005,-0.249301,-0.156475,0.051587,0.649788,1.734924,99.047619,,99.047619,0.952381,82.857143,43.809524,80.952381,76.190476,14.285714,NEUTRAL_SHADOW
34,LYB,82.69,2026-05-20,71.300003,-0.033089,-0.009722,0.222565,0.516699,0.79223,71.153846,,17.307692,34.615385,82.692308,84.615385,88.235294,23.076923,76.923077,NEUTRAL_SHADOW
